stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.94,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,1,0,3,1,0,0,0,0
 24-34,0,0,0,0,6.57,0,2.46,0.82,0,0,0,0,0,3.28,0,0,0,0.82,0,0.82,13.13,0,0.82,0.82,0,0,285.66,0,0,0,2.46,0.82,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,0.81,0.81,0,0,0,0,0,0,0.81,1.61,1.61,0,0.81,60.43,0,0,0,0,0,306.15,0,0,0,0,5.64,0,0,0.81,0
 48-58,0,0,0,0,10.33,0.57,2.3,1.15,0,0.57,0,0.57,0,0,0,0,0.57,0.57,0,0.57,26.97,0,0.57,0.57,0,0,183.62,0,0,0,0,1.15,0,0,0,0
 60-70,0,0,0,0,11.78,0,4.91,0.98,1.96,1.96,0.98,0,0,0,0,0,1.96,0.98,0,0,12.76,0,0,0,0,0,119.75,0,0,0,0,0.98,0.98,0,0,0
 72-82,0,0,0,0,28.47,0,1.96,0,0,0.98,0,0,0.98,0.98,0.98,0,2.94,0,0.98,0.98,14.72,0,0.98,0,0,0,24.54,0.98,0,0,0,0,10.8,0,0,0
 84-94,0,0,2.12,0,48.85,0,3.19,2.12,0,1.06,10.62,0,0,2.12,0,0,4.25,0,0,1.06,15.93,0,0,0,0,0,73.28,0,0,1.06,0,1.06,61.6,0,0,0
 96-106,0,0,1.09,0,49.18,0,1.09,1.09,0,0,14.21,0,1.09,0,0,0,3.28,0,0,2.19,14.21,0,1.09,0,0,1.09,19.67,3.28,0,0,0,0,128.96,1.09,0,0
108-118,0,0,0,0,46.72,0,0.77,0,0,1.53,13.79,0.77,0.77,0.77,0,0,3.06,0.77,0.77,2.3,7.66,0,0.77,0.77,0,0,19.15,0,0,0,0,0,175.41,0,0,0.77
120,0,0,0,0,29.4,0,1.96,0,1.96,1.96,3.92,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,48.99,0,0,0
