stage,endoderm,epidermis,erythrocytes,eye,glial,heart,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,otic,periderm,presomitic.mesoderm,spinal.cord,vasculature,xanthophores
 14-21,1,1,0,1,0,0,0,0,0,0,6,0,0,0,1,3,1,0
 24-34,0,0.82,0.82,5.75,1.64,0,0,2.46,0,0,39.4,0,0.82,0.82,0,5.75,0,0
 36-46,0,1.61,0,4.03,0,0,0,0.81,0,0,18.53,0,0,0.81,0,2.42,0,0
 48-58,0,0,0,25.82,0.57,0.57,0,2.87,0.57,0.57,12.05,0,0.57,0.57,0,2.87,0,0.57
 60-70,0,0.98,0,4.91,1.96,0,0,2.94,0,0,3.93,0.98,0.98,0,0,0,0,0
 72-82,0,0,0,3.93,0,0,0,1.96,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,3.19,0,3.19,0,0,1.06,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0.77,0,0,2.3,0,0,0,0,0,0,0
120,0,0,3.92,1.96,1.96,0,0,1.96,0,0,5.88,0,0,0,0,0,1.96,0
