stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,7.89,0,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,12.59,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,6,0,0,0,0,0,2,3,0,0,0,0,0,0,0,9,8,0,0,0,0,0,13,0,0,0,0,0
 24-34,0,0,5.75,1.64,0,0,0.82,0.82,0,1.64,0,0.82,0,0.82,0,0,0,17.24,1.64,0,0,0,0.82,0,18.06,0,0,0.82,0,0
 36-46,0,0,3.22,0,0,1.61,0,0,0,0,0,0,0,0.81,0,0,0,25.78,1.61,0,0,0,0,0,30.62,0,0,1.61,0,0
 48-58,0,0,1.72,0,0,3.44,0,0.57,0,5.74,0,0,0,1.72,0.57,0,0.57,20.08,0,0,0,0,0.57,0,22.38,0,0,1.72,0,0
 60-70,0,0,0.98,0,0,24.54,0,0.98,0,2.94,0,0,0,0.98,0,0,0,20.61,0,0,0,0,0,0,2.94,0,0,0.98,0,0
 72-82,0,0,10.8,1.96,0,70.68,0,2.94,1.96,3.93,0.98,0,0,10.8,0,0,0.98,38.28,0,0,0.98,0,0,0.98,7.85,0,0.98,3.93,0.98,0
 84-94,0,0,12.74,5.31,0,44.61,1.06,5.31,4.25,12.74,0,0,0,2.12,0,0,1.06,20.18,0,0,0,0,2.12,0,5.31,0,0,7.43,0,0
 96-106,0,0,12.02,1.09,0,60.11,0,2.19,2.19,2.19,0,0,0,1.09,1.09,1.09,0,25.14,0,0,1.09,0,1.09,0,7.65,3.28,0,5.46,2.19,1.09
108-118,0,0,11.49,5.36,0.77,54.38,0,7.66,1.53,0,0,0,0.77,3.83,0,0,0,32.94,0,0.77,0,0,1.53,0,0.77,5.36,0,5.36,1.53,0
120,0,0,3.92,0,0,52.91,0,7.84,0,0,0,0,0,0,0,0,0,43.12,1.96,0,0,0,0,0,0,0,0,11.76,3.92,0
