stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,somites,spinal_cord,visceral_smooth_muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,6.29,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,1,0,1,7,0,0,0,0,2,3,1,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,9.03,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,2.42,0,0,0,3.22,0,1.61,12.89,0,0.81,0,0,0,0,2.42,0
 48-58,0,0,0,0,0,2.3,0,0.57,0,0.57,0.57,0.57,5.16,0,0,0,0,0,0,1.15,0
 60-70,0,0,0,0,0,1.96,0,0,0,0.98,0.98,0,5.89,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,3.93,0.98,0,0,1.96,0,0,2.94,0,0,0.98,0,0,0,0,0.98
 84-94,0,0,0,1.06,0,0,0,0,0,3.19,0,0,0,0,0,1.06,0,0,0,1.06,0
 96-106,0,0,0,0,1.09,0,0,0,0,1.09,0,0,2.19,0,0,0,0,0,0,0,0
108-118,0,0.77,0,0,0,0,0,0,1.53,0.77,0.77,0,2.3,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0
