stage,epidermis,eye,fin.epithelia,hatching.gland,ionocyte,lateral.line,mesenchyme,mucous,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,37.76,0,0,3.15,0,0,0,0
 14-21,22,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,19.7,0,0,0,0,0,0,0,4.93,0,0,0,1.64,0.82,0,0
 36-46,9.67,0,0.81,0,0,0,0,0,1.61,0,0,0,0,0,0,0
 48-58,5.16,0,1.72,0,0,0,0,0,1.15,0,0,0,0,1.15,0,0
 60-70,12.76,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0.98
 72-82,6.87,0,0.98,0,0,0.98,0,0,2.94,0,0,0,0,0,0,0
 84-94,22.3,0,2.12,0,0,0,0,1.06,2.12,1.06,1.06,0,1.06,0,0,1.06
 96-106,13.11,0,2.19,0,0,0,1.09,0,0,0,0,0,2.19,0,1.09,0
108-118,19.15,0.77,2.3,0,0,0,0,0,0,0.77,0.77,0,0.77,0,0,0.77
120,21.56,0,3.92,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0
