stage,blastomeres,endoderm,eye,glial,gut,immune,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,spinal_cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0
 14-21,0,0,1,2,0,0,1,0,0,22,0,0,0,1,6
 24-34,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,1.61,0.81,0,0,0,0
 48-58,0,0,0.57,0.57,0,0,0,0.57,0,5.74,0,0,0,0,1.15
 60-70,0,0,1.96,0.98,0,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0.98,0,2.94,0,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,1.06,1.06,2.12,1.06,0,1.06,0,0,0,0,0,0
 96-106,0,0,1.09,1.09,0,9.84,2.19,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,16.09,0,0,0,2.3,0,1.53,0,0,0
120,0,0,0,1.96,0,23.52,0,0,0,0,0,0,0,0,0
