stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,taste,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0
 24-34,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0,0,53.36,0,0.82,0,0,32.83,0,0,0
 36-46,0,0.81,0,1.61,0,0,0,0,0,0,0,0,0,0,0.81,181.28,0,0,0,0,51.56,0,0,0
 48-58,0,0.57,0,21.23,0.57,1.15,0,0,0,0,0,0,2.87,0.57,0,217.47,0.57,0,0,0,47.05,0,0,0.57
 60-70,0,0,0.98,89.32,0,6.87,0,0,0.98,0,0.98,0,4.91,0,0,505.48,0,0,0.98,0.98,73.61,0,0,0
 72-82,0,1.96,0,51.05,0,9.82,0.98,0,0,0.98,0,0,13.74,0,0,240.51,0,0,0.98,0,29.45,0,0,0.98
 84-94,0,2.12,0,42.48,0,4.25,0,1.06,0,0,0,0,7.43,0,0,131.69,0,0,0,0,14.87,1.06,0,0
 96-106,0,0,0,31.69,0,2.19,0,0,0,0,0,1.09,6.56,0,1.09,107.1,0,0,0,0,7.65,0,1.09,0
108-118,0,0.77,0,31.4,0,5.36,0,0,0,0,0,0,5.36,0,0.77,124.85,0,0,0,0,6.13,0.77,0,0
120,0,3.92,0,27.44,0,3.92,0,0,0,0,0,0,0,0,1.96,119.55,0,1.96,0,0,5.88,0,0,1.96
