stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,698.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,24.52,882.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,12.26,0,24.52,0,0,0,0,0,0,0,0,0
  7-9,5.26,21.03,0,15.77,0,0,26.29,0,0,0,13.14,0,0,0,0,0,0,0,0,302.3,5.26,0,0,57.83,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,154.2,6.29,0,0,53.5,0,0,0,3.15,0,6.29,0,0,0,0,0
 14-21,0,0,0,1,13,5,8,0,2,0,0,0,0,0,0,1,6,0,6,116,2,2,0,2,0,3,14,2,0,11,35,0,0,0,0
 24-34,0,0,0,0,1.64,0,17.24,0.82,0.82,0,0,0.82,0.82,0.82,0,0,9.85,0,3.28,121.49,2.46,0,1.64,0.82,0,2.46,0,0,0.82,0,22.98,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,20.14,0.81,2.42,0,0,0,0,0,0,0,4.83,0,2.42,98.29,0.81,0.81,0,0,0,1.61,0,0,0,0,24.17,0,0,0,0.81
 48-58,0,0,0,0,0.57,0,25.25,0,6.31,0,0,0.57,0.57,0,0,0,8.61,0,1.15,36.15,0,0.57,0.57,0,0,0,0,0,0,0,6.89,0,1.15,0,0
 60-70,0,0,0,0,0,0,30.43,0.98,4.91,0.98,0,0,0,0,0.98,0,11.78,0,0.98,37.3,0,1.96,0,0,0,0,0,0,0,0,3.93,0,0,0,0.98
 72-82,0,0,0,0,0,0,3.93,0,6.87,0,0,0,0,0,0.98,0,12.76,0.98,0.98,20.61,0,0,0,0,0.98,0,0,0,0,0,0.98,0,1.96,0.98,0
 84-94,0,0,0,0,2.12,0,9.56,0,2.12,0,0,0,0,0,0,1.06,7.43,0,2.12,15.93,0,0,0,0,0,1.06,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,8.74,1.09,4.37,1.09,0,0,0,0,0,0,1.09,0,1.09,14.21,0,1.09,1.09,0,0,1.09,0,0,0,0,0,2.19,5.46,0,0
108-118,0,0,0.77,0,2.3,0,4.6,0.77,3.06,1.53,0,0,1.53,0,0.77,0,1.53,0,0.77,9.19,0.77,0,0,0,0,1.53,0,0,0,0,0.77,0,0.77,0,0.77
120,0,0,0,0,0,0,3.92,0,5.88,0,0,0,0,0,0,0,7.84,0,0,5.88,0,1.96,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0
