stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,2,0,0,0,0,0,0,0,1,0,2,3,0,0,0,2,0,6,2,0,0
 24-34,1.64,0,0,0.82,0.82,0,0.82,0,1.64,0,0,4.93,0,2.46,0,0,0.82,0.82,1.64,0,0
 36-46,0,0,2.42,0,0,0,0.81,0,0,0,0,8.86,0.81,0.81,0.81,0,0,0,3.22,0,0.81
 48-58,0,0,1.72,0,0,0.57,1.15,0,1.15,0,0,10.33,0,2.87,0,0,0,0,1.15,0,0
 60-70,0,0,3.93,0,0,0.98,8.83,0,5.89,0.98,0,8.83,0,11.78,0,0,0,0,0,0.98,0.98
 72-82,0,0,0.98,0,0,3.93,1.96,0,3.93,0,0,14.72,0,20.61,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.12,3.19,1.06,1.06,0,1.06,4.25,0,20.18,0,0,0,0,0,0,1.06
 96-106,2.19,0,3.28,0,0,0,4.37,0,0,0,0,8.74,0,26.23,2.19,0,0,0,0,0,0
108-118,0,0.77,0.77,0,0.77,0,3.06,0,3.83,0,0,5.36,0,19.15,0.77,0,0,0,0,0,0.77
120,0,0,1.96,0,0,3.92,7.84,0,1.96,0,0,7.84,0,23.52,0,0,0,0,0,0,0
