stage,axial,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,0,0,0,12.59,0,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,2,31,17,0,9,0,0,0,2,3,0,0,0,0,0,17,0,6,47,8,0,0,5,0,0,1,13,0,1,19,18,0,5,0,0
 24-34,0,0,4.1,2.46,0,27.09,0,0,2.46,0.82,0,0.82,0,0,0,0,29.55,0.82,9.85,76.34,3.28,0,0.82,0,0,0,0,0,0,0,7.39,22.98,0,26.27,0,0
 36-46,0,0,0.81,0.81,0,17.72,0,0,6.45,4.03,0,2.42,0.81,0,0,0,30.62,1.61,10.47,28.2,0,0,0.81,0,0.81,0,0,0,0,0,0,16.92,0,11.28,0,0.81
 48-58,0,0,0.57,0,0,18.36,1.15,0,5.74,4.02,0,5.74,0,0,0,0,70,2.87,8.03,20.08,0.57,0.57,1.72,0,0,0,0,0,0,0,0,6.31,0,10.9,0,0
 60-70,0,0,0,0,0,25.52,0,0,10.8,4.91,0.98,2.94,0,0,0.98,0,114.84,4.91,5.89,12.76,0,0,1.96,0,0.98,0,0,0,0,0,0,2.94,2.94,8.83,1.96,0
 72-82,0,0,1.96,0,0.98,36.32,0,0.98,21.6,10.8,0,9.82,0,0,0,0,176.7,15.71,16.69,35.34,0,0.98,2.94,0,5.89,0,0,0,0,0,0,0.98,8.83,21.6,10.8,0.98
 84-94,0,0,3.19,2.12,2.12,42.48,0,0,15.93,7.43,1.06,6.37,2.12,0,2.12,1.06,88.15,6.37,6.37,21.24,2.12,0,2.12,0,2.12,1.06,0,0,1.06,1.06,0,4.25,4.25,7.43,19.12,0
 96-106,0,0,4.37,0,0,34.97,1.09,0,4.37,5.46,1.09,13.11,2.19,1.09,0,0,93.98,8.74,3.28,22.95,0,1.09,3.28,0,5.46,1.09,0,0,0,0,0,2.19,5.46,8.74,19.67,0
108-118,0,0,3.83,0,2.3,30.64,0,1.53,6.13,8.43,0,3.83,0.77,0,0,0,71.23,3.06,5.36,23.74,0,0,5.36,0,5.36,0,0,0,0,0,0,0,3.06,9.96,13.79,0.77
120,1.96,0,3.92,1.96,1.96,35.28,0,1.96,13.72,3.92,0,1.96,0,0,0,0,70.55,13.72,1.96,37.24,0,0,1.96,0,5.88,0,0,0,0,0,0,0,1.96,9.8,9.8,0
