stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,3,28,244,70,0,167,0,1,0,48,9,1,0,1,8,0,0,0,5,143,0,0,119,1740,44,4,25,61,0,9,228,8,9,330,625,0,0,10,0,0
 24-34,0,4.1,9.85,128.87,9.03,0,570.49,3.28,6.57,7.39,64.85,4.1,0,6.57,9.03,10.67,7.39,7.39,11.49,6.57,390.73,3.28,4.1,127.23,4052.57,17.24,26.27,35.3,0,0.82,37.76,0.82,4.1,9.03,66.49,895.55,0,0,45.97,0,11.49
 36-46,0,0,0.81,53.98,5.64,0,791.17,3.22,4.83,9.67,119.24,6.45,0,5.64,1.61,2.42,3.22,7.25,4.03,4.83,282.79,1.61,9.67,82.98,3438.6,11.28,28.2,19.34,0,0,33.84,0,4.03,6.45,0.81,748.47,0,0.81,30.62,0.81,4.83
 48-58,0,1.72,1.15,58.53,5.74,0,1443.69,5.74,9.18,21.8,270.84,5.16,2.3,4.59,4.02,2.87,13.2,8.61,5.74,4.02,396.5,2.3,21.8,101.56,3509.96,9.18,22.38,26.97,0,1.15,24.1,0,4.59,6.31,0,681.68,0,2.87,22.95,0.57,6.31
 60-70,0,0.98,0,60.85,6.87,0,1569.45,8.83,11.78,22.58,286.6,11.78,0.98,6.87,4.91,8.83,13.74,5.89,8.83,2.94,432.85,1.96,28.46,67.73,3398.03,8.83,18.65,21.59,0,3.93,29.45,0,3.93,5.89,0,446.59,2.94,6.87,18.65,3.93,1.96
 72-82,0,7.85,0,88.35,20.61,0.98,1104.37,5.89,2.94,30.43,284.68,22.58,0,6.87,21.6,8.83,9.82,10.8,5.89,1.96,527.15,5.89,29.45,95.22,2469.86,4.91,28.47,19.63,0,4.91,46.14,0.98,5.89,5.89,0,192.41,2.94,20.61,53.99,14.72,10.8
 84-94,0,10.62,0,88.15,24.43,2.12,653.15,2.12,18.05,24.43,178.42,22.3,3.19,6.37,37.17,10.62,15.93,8.5,4.25,6.37,339.85,4.25,24.43,46.73,1107.71,10.62,13.81,29.74,0,3.19,109.39,0,5.31,5.31,0,89.21,9.56,14.87,47.79,18.05,5.31
 96-106,0,7.65,1.09,113.66,22.95,1.09,437.14,10.93,5.46,9.84,160.65,22.95,0,4.37,42.62,18.58,15.3,9.84,5.46,3.28,263.38,3.28,9.84,59.01,791.22,4.37,30.6,31.69,0,6.56,78.68,0,5.46,2.19,0,45.9,3.28,18.58,50.27,4.37,12.02
108-118,0.77,3.06,1.53,96.51,23.74,3.83,338.56,4.6,18.38,9.96,135.58,19.92,0,3.83,34.47,10.72,13.79,8.43,6.13,4.6,241.28,3.83,13.79,42.89,1013.37,6.13,17.62,32.17,0,6.13,66.64,0,7.66,5.36,0,32.17,6.13,6.13,24.51,12.26,9.96
120,0,7.84,0,186.18,52.91,3.92,444.87,13.72,31.36,17.64,254.77,31.36,0,5.88,74.47,11.76,15.68,13.72,13.72,5.88,366.48,9.8,7.84,99.95,1710.89,27.44,17.64,47.03,0,5.88,119.55,0,9.8,0,0,60.75,9.8,9.8,70.55,21.56,1.96
