stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,heart,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,2.46
 36-46,0,0,1.61,0,0,0,0,0,1.61,0.81,0,2.42,0,0,0,0,0.81,0,0,1.61
 48-58,0,0,0.57,0,1.15,0,0,0,1.15,0,0,1.15,0,0,0,0.57,0.57,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,9.82,0,2.94,1.96,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,0,0,0.98,22.58,2.94,1.96,5.89,0,0.98,0,0,0,0.98,0,0
 84-94,0,0,0,0,2.12,0,1.06,0,11.68,0,0,1.06,1.06,0,0,0,0,0,1.06,0
 96-106,0,0,1.09,0,0,0,0,1.09,24.04,0,1.09,3.28,0,0,0,0,0,1.09,1.09,0
108-118,0,1.53,0,0,0,0.77,0,0,26.81,0,0.77,6.13,0,0,0,0,0,0,0.77,0.77
120,0,0,0,0,0,0,0,0,15.68,0,1.96,3.92,0,0,0,0,0,1.96,1.96,0
