stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,303.09,3162.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0
  5-6,55.17,471.98,0,0,0,0,0,0,0,0,0,0,0,0,0,91.94,0,0,0,6.13,6.13,0,0,0,0,0,0
  7-9,5.26,0,0,2.63,0,0,10.51,0,0,0,2.63,0,0,0,0,47.32,2.63,0,0,28.92,0,92,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,18.88,6.29,0,0,6.29,0,75.53,0,3.15,3.15,0,0
 14-21,0,0,0,3,15,1,0,0,1,3,0,0,0,2,3,12,1,1,0,0,0,21,3,1,6,4,0
 24-34,0,0,0,0.82,4.93,0,0.82,0,0,0,0,0,2.46,0,0.82,2.46,0,0.82,0,0,0,2.46,0,0,2.46,7.39,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0.81,0,0.81,4.83,0,0,0.81,0,0,4.83,0,0,0,4.03,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0.57,1.72,0,0.57,0,0,0,0,0.57,1.15,0,0,0,0.57,0
 60-70,0,0,0.98,0,1.96,0,0.98,0,3.93,0,0,0,0,0.98,0,5.89,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.98,0,0,0,0,1.96,0,4.91,0,0,0.98,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,0,0,3.19,0,4.25,0,0,1.06,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,1.09,0,0,0,1.09,1.09,0,1.09,0,1.09,0,2.19,0,0,1.09,0,0,2.19,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,1.53,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
