stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,101,1,3,0,0,0,0,0,0,0,2,61,0,0,0,0,0
 24-34,0,2.46,0,4.93,0,0,9.03,0.82,0.82,0,0,0,1.64,0,0,0,0.82,0,0.82,3.28,0,0,0,607.43,0,21.34,0,0,0,0,0,0,0,0,192.9,0,0,0,0,0
 36-46,0,0,0,1.61,0,0,103.13,0.81,0,0,13.7,0,0,0,0.81,0,0,0.81,4.03,8.06,0,0.81,0.81,1910.24,0,29.81,0,0,0,0.81,0,1.61,0,0,396.39,0,0,0,0,0
 48-58,0,0,0,5.16,0,0,404.53,0,0.57,0.57,32.13,0,0,0,0,0.57,1.15,0,5.16,15.49,0,1.15,2.3,2043.32,0.57,18.36,0.57,0,0,0.57,0,0,0,0,352.32,0,0,0.57,0,1.72
 60-70,0,0,0,1.96,0,0,1038.45,0,0,0,48.09,0,0.98,0.98,0,2.94,0.98,0,0.98,17.67,0.98,0.98,3.93,2872.91,0,18.65,0.98,0,0.98,3.93,0,0,0,0,414.2,0,1.96,0,0,1.96
 72-82,0,1.96,0,13.74,2.94,0,832.45,0,0,4.91,76.57,1.96,0,1.96,0.98,1.96,0,1.96,2.94,27.49,0,0,1.96,1988.85,0,21.6,4.91,0,0,0.98,0.98,0.98,0.98,0,197.31,0,0.98,0.98,0,4.91
 84-94,0,3.19,0,15.93,1.06,0,472.61,1.06,0,0,58.41,1.06,1.06,1.06,0,2.12,1.06,1.06,9.56,22.3,0,2.12,4.25,1068.41,1.06,11.68,3.19,0,0,3.19,0,0,1.06,0,111.51,0,0,3.19,1.06,3.19
 96-106,0,2.19,0,9.84,3.28,0,389.05,0,1.09,0,45.9,2.19,0,3.28,0,1.09,0,0,1.09,21.86,1.09,1.09,1.09,784.66,0,28.41,5.46,0,0,6.56,0,0,0,0,40.44,1.09,1.09,2.19,1.09,4.37
108-118,0,0.77,0,13.79,0.77,0,271.92,0.77,1.53,0,31.4,0.77,0,3.06,0,1.53,0,0.77,3.83,13.02,0,0.77,0.77,811.15,0,9.96,2.3,0,0,0.77,0,1.53,0,0,32.17,0.77,0,0.77,2.3,0
120,0,0,0,11.76,0,1.96,207.74,0,0,0,45.08,1.96,0,0,1.96,1.96,1.96,0,3.92,17.64,0,0,0,860.35,0,11.76,1.96,0,0,3.92,0,0,1.96,0,39.2,0,0,1.96,0,1.96
