stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,20,101,20,6,0,0,0,0,1,0,0,0,1,0,0,0,1,26,0,0,14,49,1,0,6,0,8,1,5,2,0,32,7,0,0,3,0,0
 24-34,1.64,23.8,3.28,13.95,0,4.93,0,0,0,0,0,0.82,6.57,0,0,0,0,19.7,0.82,0,5.75,43.51,1.64,1.64,3.28,0,5.75,0,0,4.1,0,0.82,9.03,0,0,6.57,0,0.82
 36-46,0,3.22,0.81,33.03,0,7.25,2.42,1.61,0,0,0,0,0.81,0.81,0.81,0,0,14.5,0,0,3.22,50.76,1.61,0,2.42,0,4.83,0,0,3.22,0,0,11.28,0,0,5.64,0,0
 48-58,0,4.59,0,213.46,0.57,16.64,1.72,2.87,0,0,0,0,0,0.57,0,0,1.72,17.79,0,1.15,2.87,45.33,0,1.15,1.72,0,3.44,0,0,4.02,0,0,9.18,0,0,5.74,0,4.59
 60-70,0,3.93,0,497.63,0,10.8,0.98,6.87,0,0,0,1.96,0,0.98,0,0,0,16.69,0,0.98,0,41.22,0.98,0,0,0.98,9.82,0,0,4.91,0,0,8.83,0,0.98,2.94,0.98,5.89
 72-82,0,5.89,1.96,433.89,0.98,11.78,0.98,5.89,0.98,0,0.98,2.94,0,0.98,0,0.98,1.96,18.65,0,4.91,2.94,40.25,0.98,0.98,0,0,2.94,0,0,9.82,0,0,8.83,0,5.89,4.91,3.93,1.96
 84-94,0,7.43,0,438.62,1.06,32.92,1.06,5.31,1.06,1.06,1.06,2.12,0,3.19,0,0,1.06,30.8,0,6.37,4.25,26.55,0,0,1.06,0,6.37,0,0,21.24,1.06,0,6.37,0,5.31,4.25,7.43,4.25
 96-106,0,15.3,0,349.71,1.09,24.04,0,3.28,1.09,0,2.19,9.84,1.09,1.09,2.19,0,0,21.86,1.09,10.93,4.37,28.41,0,1.09,2.19,0,2.19,0,0,25.14,0,0,2.19,0,1.09,8.74,13.11,2.19
108-118,0,9.19,0,225.19,0.77,70.47,0,4.6,1.53,0,0,4.6,0.77,5.36,0,0,0.77,15.32,0,6.89,7.66,22.21,0.77,1.53,0.77,0,5.36,0,0,8.43,0,0,3.83,0.77,1.53,1.53,6.89,3.83
120,0,19.6,0,195.98,0,70.55,1.96,0,0,0,3.92,7.84,0,1.96,0,0,0,11.76,1.96,3.92,3.92,35.28,0,0,0,1.96,5.88,0,0,5.88,0,0,0,0,0,3.92,0,0
