stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching.gland,ionocyte,mesenchyme,mucous,neural,notochord,paraxial.mesoderm,periderm,somites,spinal.cord,taste,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0
  7-9,2.63,0,0,0,5.26,0,0,0,0,0,0,18.4,0,2.63,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0.82,0.82,0,5.75,0,0,1.64,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,5.64,0,0,2.42,0,0.81,0,0
 48-58,0,0,0,0,1.72,1.15,0,0,0,0,0.57,1.15,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,2.94,1.96,0,0,0,0.98,0.98,1.96,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,1.96,0,0,0,0,2.94,0,2.94,0,0,1.96,0,0,0,0.98
 84-94,0,0,0,0,1.06,2.12,0,0,0,1.06,0,3.19,0,0,6.37,0,0,0,0
 96-106,0,0,0,1.09,1.09,2.19,0,0,0,1.09,3.28,4.37,0,0,6.56,0,0,0,0
108-118,0,0,0,2.3,0,0,0.77,0,0,0.77,0.77,0.77,0,0,3.06,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,1.96,1.96,0,0,1.96,0,0,1.96,0
