stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,gut,hatching_gland,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste
  3-4,355.8,4045.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.31,0,0,0,0,0,0
  5-6,98.07,1385.3,6.13,0,0,0,0,0,0,0,0,0,0,0,0,79.69,12.26,0,6.13,49.04,0,0,0,0,0,0
  7-9,23.66,28.92,39.43,0,0,42.06,0,0,28.92,0,0,0,0,0,0,562.54,7.89,0,207.67,2.63,5.26,0,0,0,0,0
 10-12,0,12.59,6.29,0,0,9.44,0,0,6.29,0,0,0,0,0,0,78.67,9.44,0,31.47,0,0,0,3.15,3.15,0,0
 14-21,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,1,1,1,1,0
 24-34,0,0,0,1.64,0,0,1.64,0,0,0,0,10.67,0,0,0.82,0.82,2.46,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0.81,0,0,0.81,0,0.81,0,0,0,0.81,2.42,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,6.31,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,1.96,0,0,3.93,0,0,0,0,1.96,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,4.91,0,0,0.98,0,0,0,0,1.96,7.85,2.94,0,1.96,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,11.68,0,0,20.18,1.06,0,0,1.06,2.12,2.12,0,0,2.12,0,1.06,0,0,0,0,0,0,0,2.12
 96-106,0,0,0,7.65,1.09,0,2.19,0,0,0,0,1.09,7.65,1.09,0,3.28,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,9.96,0,0.77,24.51,2.3,0,1.53,2.3,1.53,6.89,0.77,0,0.77,0,0,0,0,0,0,0,0,0.77,2.3
120,0,0,0,5.88,0,0,15.68,0,0,1.96,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,0
