stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.53,0,0,0,12.59,0,3.15,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,2,21,3,3,0,0,0,2,0,0,1,0,3,0,0,0,2,5,0,0,9,378,3,4,2,0,0,0,2,2,3,8,45,0,0,0,0
 24-34,0,0.82,0.82,2.46,0.82,8.21,0,0.82,0,5.75,0,0,0,0,4.93,0,0,0,0,6.57,0,0,2.46,604.97,0.82,0.82,0,0,0,1.64,0,0,0,3.28,64.85,0,0,3.28,0
 36-46,0,0,0,4.83,0,5.64,0.81,0,0,28.2,0,0,0.81,0,0,0,0.81,0,0,4.03,0,0,2.42,1028.03,0,3.22,0.81,0,0,5.64,0,0,0,0,78.96,0,0,1.61,0
 48-58,0,0,0,4.59,1.15,55.09,0,1.15,1.72,63.12,0,0,0.57,0,1.72,0.57,0,0,0.57,13.2,0,0.57,4.59,1339.83,1.15,1.72,1.15,0,0,0.57,0,0,1.15,0,75.17,0,0,2.87,1.15
 60-70,0,1.96,0,0.98,0,135.45,1.96,1.96,0.98,88.34,0,0,0,0,0.98,0,0.98,0,0,31.41,0,0,1.96,2340.93,0.98,3.93,0.98,0,0,3.93,0,0,0,0,115.82,0,0,1.96,0
 72-82,0,0.98,0,9.82,3.93,207.13,0,0,2.94,108.96,3.93,0,0,0,1.96,1.96,0,0.98,1.96,34.36,0,2.94,1.96,2039.89,0,1.96,2.94,0,0.98,2.94,0,0,0,0,76.57,2.94,0.98,4.91,0.98
 84-94,0,0,0,25.49,2.12,189.04,0,1.06,3.19,70.09,0,0,1.06,3.19,1.06,2.12,0,1.06,0,29.74,0,2.12,3.19,1166.12,1.06,2.12,0,0,0,15.93,0,0,0,0,45.67,0,3.19,4.25,0
 96-106,0,1.09,0,21.86,4.37,175.95,1.09,1.09,5.46,44.81,1.09,0,1.09,2.19,2.19,1.09,0,2.19,2.19,39.34,0,2.19,2.19,871,1.09,4.37,3.28,0,1.09,9.84,0,0,2.19,0,18.58,1.09,2.19,2.19,2.19
108-118,0,0.77,0,11.49,3.06,108,0.77,2.3,0,53.62,1.53,0,0,2.3,0,0,0,0.77,0.77,20.68,0.77,0,2.3,998.05,0,2.3,0.77,0,1.53,6.13,0,0,0,0,24.51,0.77,0,3.06,1.53
120,0,0,0,11.76,5.88,129.35,0,5.88,0,54.87,0,0,0,1.96,1.96,0,0,1.96,0,35.28,0,1.96,0,1232.71,1.96,0,0,0,0,9.8,0,1.96,1.96,0,29.4,0,0,3.92,0
