stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,5.26,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.67,9.44,0,0,50.35,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,0,928,1,0,17,0,0,0,38,1,1,0,0,2,0,0,0,0,4,10,0,9,474,240,0,0,5,0,2,0,63,17,46,188,483,0,0,0,0,0
 24-34,0,0,0.82,972.71,0,0,71.41,0,21.34,0,27.09,0,0,0.82,0.82,1.64,0,0,0.82,2.46,9.03,15.6,0,8.21,320.13,82.91,1.64,2.46,0,0,4.1,0,0,52.53,4.1,41.04,256.93,0,0,1.64,0,0
 36-46,0,0,0,436.67,0,0,128.1,0,31.42,1.61,4.83,0,0,1.61,0,0,0,0,0,0,12.09,4.83,0.81,4.03,103.93,25.78,0.81,0,0,0,3.22,0,0,41.89,0.81,0,119.24,0,0,1.61,0,0
 48-58,0,0,0,220.91,0,0,150.34,0.57,33.28,0.57,6.31,1.15,0,1.15,0.57,0,0,0,0.57,0,17.21,2.87,3.44,4.59,58.53,11.48,0,1.72,0,0,1.72,0,0,20.08,0,0,31.56,0,0,0.57,0,1.15
 60-70,0,0.98,0,134.47,0,0,144.28,0,16.69,0.98,15.7,3.93,0,1.96,0.98,0.98,0,0,0,0,45.15,0,1.96,15.7,49.08,2.94,0,5.89,0,0,2.94,0,0,32.39,0.98,0,18.65,1.96,0,2.94,0.98,0
 72-82,0,2.94,0,84.42,0,0,130.56,0,9.82,0,29.45,11.78,0,5.89,0.98,5.89,0,0.98,0.98,0,87.37,2.94,14.72,16.69,40.25,1.96,0.98,10.8,0,0,0.98,0,0,43.19,1.96,0,5.89,1.96,2.94,5.89,15.71,0
 84-94,0,2.12,4.25,122.13,1.06,0,209.22,0,13.81,0,25.49,24.43,0,6.37,2.12,4.25,0,0,2.12,2.12,57.35,1.06,11.68,9.56,30.8,3.19,2.12,11.68,0,0,5.31,1.06,0,75.4,0,0,4.25,4.25,10.62,7.43,12.74,0
 96-106,0,8.74,4.37,170.48,0,1.09,233.87,0,15.3,0,52.46,56.83,0,8.74,12.02,9.84,0,5.46,2.19,1.09,83.06,1.09,29.51,17.49,45.9,3.28,6.56,26.23,0,0,0,0,0,75.41,0,0,3.28,15.3,5.46,29.51,24.04,0
108-118,0,4.6,7.66,129.45,0,1.53,225.96,0.77,42.13,0.77,32.17,90.38,0,5.36,4.6,11.49,0.77,0.77,3.06,0.77,72,1.53,19.15,13.79,38.3,1.53,3.83,19.15,0,2.3,0.77,0,0,78.13,0,0,2.3,19.15,9.19,16.85,16.85,1.53
120,0,1.96,3.92,160.7,1.96,0,168.54,0,23.52,0,17.64,96.03,0,3.92,3.92,3.92,0,1.96,1.96,0,66.63,5.88,13.72,9.8,45.08,1.96,0,21.56,0,13.72,0,0,0,52.91,0,0,5.88,7.84,17.64,13.72,19.6,0
