stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,196.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,10.51,0,0,0,28.92,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,252.36,7.89,0,0,81.49,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,25.18,0,12.59,0,0,0,34.62,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,298.96,3.15,0,0,69.23,0,3.15,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,16,2,0,10,0,0,0,2,0,0,1,0,1,0,0,0,0,4,0,0,6,89,4,0,0,0,0,10,9,4,0,23,25,0,0,2,0,0
 24-34,0,0.82,1.64,8.21,1.64,0,15.6,0,0,0.82,0.82,0,0,0.82,0,0.82,0,2.46,0.82,0,18.88,2.46,0,9.85,139.55,0.82,2.46,1.64,0,0,40.22,0,4.1,0.82,6.57,33.66,0,0,4.93,0,0
 36-46,0,0,0,4.03,0,0,30.62,0.81,0.81,2.42,7.25,0,0,0.81,0.81,0.81,0,0.81,0.81,1.61,29,0.81,1.61,4.83,139.38,2.42,4.83,2.42,0,0.81,26.59,0,1.61,0.81,0,30.62,0,0,2.42,0,0.81
 48-58,0,0.57,0,2.3,0.57,0,47.63,2.3,1.15,1.72,25.25,1.15,0,1.72,0.57,1.15,0.57,1.15,1.15,0,29.26,0,1.15,5.74,114.19,1.15,2.87,2.87,0,0,16.64,0,1.72,0.57,0,30.41,0,0,2.3,0,3.44
 60-70,0,0,0,6.87,0,0,51.04,1.96,1.96,1.96,22.58,0.98,0,0,2.94,0,0,0,1.96,0,24.54,1.96,0.98,6.87,68.71,0,0.98,0.98,0.98,0,16.69,0,2.94,0.98,0,15.7,0,0.98,1.96,0,0.98
 72-82,0,0.98,0,4.91,1.96,0,59.88,0,0.98,2.94,40.25,5.89,0,0,0.98,0,0,1.96,0.98,0.98,43.19,0,1.96,4.91,107,0.98,2.94,0.98,0,0.98,8.83,0,1.96,0,0,4.91,0,1.96,7.85,1.96,0.98
 84-94,0,0,0,5.31,2.12,2.12,39.3,1.06,1.06,1.06,26.55,6.37,0,4.25,5.31,2.12,3.19,1.06,1.06,0,23.36,1.06,4.25,6.37,59.47,1.06,1.06,3.19,0,0,19.12,0,2.12,1.06,0,9.56,2.12,0,5.31,3.19,1.06
 96-106,0,1.09,0,10.93,0,3.28,18.58,0,1.09,1.09,30.6,4.37,0,1.09,8.74,1.09,1.09,0,2.19,0,29.51,1.09,3.28,5.46,45.9,1.09,1.09,1.09,0,2.19,22.95,0,1.09,0,0,2.19,1.09,1.09,6.56,0,2.19
108-118,0,0,0,6.89,0.77,3.83,30.64,1.53,1.53,1.53,19.15,11.49,0,1.53,0.77,2.3,2.3,0.77,1.53,3.06,14.55,1.53,0.77,4.6,48.26,0.77,0,3.06,0,0,16.09,0,2.3,2.3,0,0.77,1.53,2.3,3.83,2.3,0
120,0,0,0,13.72,1.96,0,23.52,0,0,0,25.48,11.76,0,0,0,1.96,3.92,0,5.88,0,17.64,0,0,5.88,47.03,0,3.92,1.96,0,1.96,21.56,0,3.92,1.96,0,1.96,0,1.96,3.92,0,0
