stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,2,1,2,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0,18.06,0,0,0,0.82,0,0,2.46,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,49.15,0,0,0,0.81,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0.57,8.03,0,1.15,0,0,0,0,0,4.02,0,0,72.87,0,0,0,0.57,0,0,6.89,0,0,0,0,0
 60-70,0,0,0,0,32.39,0,0,0,0,0,0,0,6.87,0,0,149.19,0,0,0,0.98,0,0,9.82,0,0,0,0,0
 72-82,0,0,0,0,57.92,0,12.76,0,0,0,1.96,0,8.83,1.96,0.98,188.48,0.98,0.98,0,0,0,0,7.85,0,0.98,1.96,0.98,0
 84-94,0,0,2.12,0,55.23,0,14.87,0,0,0,0,0,10.62,0,1.06,109.39,0,1.06,0,0,0,0,7.43,0,1.06,1.06,0,0
 96-106,0,0,2.19,2.19,64.48,2.19,9.84,0,0,0,0,0,9.84,0,0,142.07,0,0,0,0,0,0,1.09,0,2.19,0,2.19,1.09
108-118,0,0,0.77,0,44.43,2.3,14.55,0,0,1.53,2.3,0.77,9.19,0,0.77,134.81,0,0,0,0,0,0,3.06,0.77,0.77,2.3,0,0
120,0,0,3.92,0,31.36,3.92,3.92,0,0,0,1.96,0,7.84,0,0,143.06,0,0,0,0,0,0,7.84,0,0,0,0,0
