stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
 24-34,0.82,0,0.82,0,0,0,0,0,0,0,2.46,0,4.1,0.82,0.82,0,0,0,0,1.64,0,0,1.64,0,0
 36-46,0,0,6.45,0,0,0,0,0.81,0,0,9.67,1.61,2.42,0.81,1.61,0,0,0.81,0,0.81,0,0,4.83,0,0
 48-58,0.57,0.57,71.15,0,0,0.57,0,1.15,0,0,10.9,0.57,0.57,3.44,0.57,0.57,0,0,0,0,0,0,2.3,0,0
 60-70,0,0,252.25,0,0.98,0.98,0,0,0,0,10.8,0,3.93,4.91,0.98,0,0,0.98,0,0,0,0,1.96,0,0
 72-82,0,0,288.61,0,0,5.89,0,0,0,0,24.54,1.96,0,10.8,0.98,0.98,0,0,0,0,0,1.96,9.82,0,0.98
 84-94,2.12,0,165.68,0,1.06,6.37,0,0,1.06,0,24.43,0,0,7.43,4.25,0,0,0,0,0,0,2.12,2.12,0,1.06
 96-106,0,0,134.42,0,0,3.28,1.09,0,0,0,18.58,1.09,1.09,4.37,0,0,0,2.19,0,0,1.09,0,8.74,0,0
108-118,1.53,0,97.28,0,0,1.53,0,0,0,0.77,15.32,0,0,5.36,3.06,0.77,0.77,0,0,0,0,1.53,5.36,0.77,0
120,0,0,56.83,1.96,0,1.96,0,0,0,0,7.84,0,0,1.96,1.96,1.96,0,0,0,0,0,0,3.92,0,0
