stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,15.73,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,9,0,0,0,0,0,0,0,0,0,2,7,1,0,2,9,1,1,0,1,0,1,230,93,2,0,0,0,0
 24-34,0,0,1.64,0.82,8.21,0,0,0,0,0.82,0,0.82,1.64,0,0,12.31,22.16,0.82,0,0,0.82,0,0,79.62,83.73,3.28,0,0,0,0
 36-46,0,0,0,2.42,12.09,0,0.81,0,0,0,0.81,0.81,4.83,0,0,4.83,17.72,0,0,0,0,0,0,41.89,2.42,2.42,0,0.81,0,0.81
 48-58,0,0,0,3.44,8.61,0,1.72,0,0,0,0.57,0,4.02,1.15,0.57,5.74,18.94,1.15,0.57,0,0.57,0,0,18.36,0,2.3,0,0.57,0,0
 60-70,0,0.98,0,6.87,22.58,0.98,0.98,0,0,0,0,0,0.98,0,0,6.87,9.82,0,0,0,0.98,0,0,12.76,0,1.96,0,0,0,0
 72-82,0,0,1.96,1.96,25.52,0,0,0,0,0,0,0,4.91,0,0,11.78,9.82,0,0,0.98,0.98,0,0,4.91,0,1.96,0,0.98,0,0.98
 84-94,0,0,0,6.37,23.36,1.06,1.06,1.06,0,0,0,0,1.06,1.06,0,6.37,3.19,0,0,0,1.06,0,0,18.05,0,0,1.06,0,1.06,0
 96-106,0,0,0,1.09,24.04,0,0,0,0,0,0,0,10.93,2.19,0,6.56,9.84,0,0,1.09,5.46,0,0,18.58,0,0,0,1.09,0,1.09
108-118,0,2.3,0,1.53,32.17,0,0.77,1.53,0,0,0,0,3.06,0.77,0,4.6,7.66,0,0,0,1.53,0,0,23.74,0,0,0,0,0,0
120,0,0,0,3.92,48.99,0,0,0,0,0,1.96,0,1.96,0,0,17.64,1.96,1.96,1.96,0,1.96,1.96,0,19.6,0,0,0,0,1.96,0
