stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.81,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,31.54,2.63,0,0,10.51,55.2,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,3.15,0,3.15,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,3.15,56.65,0,0,0,3.15,22.03,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,13,1,0,1,0,0,0,2,0,1,0,0,2,1,1,0,0,1,0,0,0,10,1,1,11,0,119,1,1,2,0,1,3,0,0,0,2
 24-34,0,0,0,0,3.28,0,0,3.28,0,0,0,0,0,0,0,0,10.67,4.1,11.49,0,11.49,1.64,2.46,0,1.64,40.22,10.67,20.52,14.78,0,423.56,0,0,15.6,0,0.82,15.6,0,4.1,0,7.39
 36-46,0,0,0,0.81,0.81,0,0,53.17,0,2.42,0,1.61,1.61,0,0,0,4.83,8.86,1.61,1.61,13.7,0.81,5.64,0,0.81,53.17,11.28,15.31,10.47,0,342.41,0,0,3.22,0,0,16.11,0,0.81,0,9.67
 48-58,0,0,0,0,8.03,0,0,173.86,0,0.57,0.57,3.44,1.15,0,0.57,0,4.59,24.1,7.46,1.15,14.35,3.44,2.87,0,1.15,41.89,2.87,12.62,9.75,0,199.11,0,0,1.72,0,0,10.9,0,0,0,20.66
 60-70,0,0,0.98,0,8.83,0,0,197.29,0,0.98,0,8.83,5.89,2.94,0,0,9.82,74.6,13.74,0,12.76,5.89,5.89,0.98,0,29.45,1.96,19.63,16.69,0,196.3,0,0,0.98,0,0,3.93,1.96,0.98,0,28.46
 72-82,0,0,1.96,0,18.65,0.98,0,73.62,0.98,0,0,16.69,18.65,0.98,0,2.94,2.94,81.48,14.72,0,9.82,7.85,6.87,0,0.98,41.23,0,19.63,22.58,0,171.79,0,0,3.93,0,0,2.94,1.96,3.93,0,18.65
 84-94,0,0,3.19,2.12,41.42,1.06,1.06,86.03,0,4.25,0,8.5,32.92,0,0,2.12,19.12,98.77,16.99,1.06,31.86,8.5,8.5,0,0,20.18,3.19,36.11,24.43,0,489.6,0,0,13.81,0,0,4.25,9.56,0,1.06,28.68
 96-106,0,0,3.28,2.19,60.11,0,2.19,33.88,2.19,5.46,2.19,13.11,33.88,0,0,2.19,26.23,89.61,28.41,4.37,15.3,12.02,5.46,0,1.09,26.23,1.09,30.6,15.3,0,398.89,0,0,4.37,0,0,3.28,26.23,1.09,1.09,22.95
108-118,0,0,1.53,2.3,64.34,0.77,6.13,31.4,0,8.43,0,7.66,44.43,0,0,0,19.15,137.11,13.79,7.66,26.04,5.36,9.19,0,0.77,28.34,0.77,14.55,23.74,0,308.68,0,0,6.13,0.77,0,3.06,29.11,1.53,0.77,39.06
120,0,0,3.92,0,86.23,0,0,33.32,0,9.8,0,3.92,37.24,0,0,1.96,11.76,78.39,7.84,1.96,21.56,5.88,3.92,0,1.96,54.87,1.96,15.68,21.56,0,252.81,0,0,7.84,0,0,1.96,27.44,0,0,11.76
