stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,226.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,5.26,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,1,0,0,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,3.28,0,0.82,19.7,0,0,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0,0,8.86,0,1.61,16.11,0.81,0,0,0,0,0,0,0,4.83,0,0,0,0
 48-58,0,0,0,0,0,0,3.44,0,0.57,0,0.57,0,0,0,0,0,5.16,0,0,30.99,0,0,0,0,0,0,0,0,5.74,0,0,0,0
 60-70,0,0,0,2.94,0,0,50.06,0.98,0,0,3.93,0,0,0,0,0,8.83,0,0,82.45,0,0,0,0,0,0,0,0,12.76,0,0,0,0
 72-82,0,0,0.98,0.98,0,0,178.66,0,0,1.96,9.82,0,0,0,0,0,14.72,0.98,0,169.83,0,0,0,0,0.98,0,0,0,17.67,0,0,0,0
 84-94,0,0,0,2.12,0,0,106.2,0,1.06,1.06,5.31,1.06,2.12,0,0,1.06,6.37,0,0,92.4,1.06,0,1.06,0,2.12,0,2.12,1.06,7.43,0,0,1.06,1.06
 96-106,0,0,0,2.19,0,0,167.21,0,0,0,10.93,3.28,1.09,2.19,1.09,0,19.67,0,2.19,107.1,0,1.09,3.28,0,4.37,0,0,0,6.56,0,0,0,2.19
108-118,0,0,0,3.83,0.77,1.53,107.23,0,0,0.77,6.13,0.77,2.3,0,0,0,13.02,2.3,0.77,95.75,0,0,0,0,0,0,0,0,5.36,0.77,0.77,0,0
120,0,0,0,3.92,1.96,0,86.23,1.96,0,0,11.76,0,0,0,0,0,11.76,0,1.96,176.38,0,0,0,0,0,0,0,0,13.72,0,0,1.96,0
