stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,heart,immune,ionocyte,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,1.15,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,1.96,0,0.98,0,0.98,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,2.94,0.98,0.98,0,1.96,0,0.98,0,0.98,2.94,0,0.98,0,0,0,0,0,0,0
 84-94,0,1.06,0,0,2.12,0,0,6.37,0,0,0,0,1.06,0,1.06,0,3.19,0,0,0,0,1.06
 96-106,0,1.09,0,3.28,2.19,0,0,18.58,1.09,1.09,1.09,1.09,1.09,0,0,0,16.39,0,0,0,1.09,0
108-118,0,3.06,1.53,3.06,3.06,0.77,0,11.49,0,3.83,0,3.83,3.06,0,0,0,9.96,0,0,0,0,3.06
120,0,3.92,3.92,0,0,1.96,1.96,7.84,0,0,0,1.96,7.84,1.96,0,0,21.56,0,0,0,0,3.92
