stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,gut,melanocytes,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,somites,spinal.cord
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0.81,0,0,0,0.81,0,0,0,0.81
 48-58,0,0,0,1.72,0.57,0.57,0,0,0,3.44,0.57,0,0,1.72,0,0.57
 60-70,0,0,0,1.96,0,0,0,0,0.98,1.96,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0.98,0,0
 84-94,0,0,1.06,2.12,0,0,0,0,0,0,0,0,0,2.12,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0.77,0,0.77,0,0,0,0,0.77,0,0,0,3.06,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,3.92,0,0
