stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,1,0,0,39,0,0,0,0
 24-34,0,0,13.95,1.64,0.82,0,4.93,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0,0,252.82,0,5.75,0,0,0.82,0,1.64,0,0.82,116.56,0,0.82,0,0
 36-46,0,0,10.47,0.81,0,0,8.06,0,0,0,1.61,0,0,0,0,0,0,0,0,0,1.61,0,0,0,452.79,0,5.64,0,0,1.61,0,1.61,0,0,136.96,0,0,0,0.81
 48-58,0,0,9.18,2.3,0.57,0,49.35,0,0.57,0,8.61,0,0,0,0,0,0,0.57,1.15,0.57,5.16,0,0,1.72,592.17,0,9.18,0.57,0,1.15,0,2.87,0.57,0,111.89,0,1.15,0,0.57
 60-70,0,0,3.93,3.93,0,0,110.91,0.98,0,0.98,5.89,0,0,0,0.98,0.98,0,0,0,0,6.87,0,0,0.98,783.25,0,11.78,0.98,0,0,0,3.93,0,0,104.04,0,0,0,0
 72-82,0,0,23.56,11.78,1.96,0,204.19,0,1.96,0.98,24.54,6.87,0,0.98,0.98,0,0,0,0,0,15.71,0,0,1.96,1156.4,0,22.58,0.98,0.98,2.94,0.98,5.89,0,0,88.35,3.93,0.98,0,0
 84-94,0,0,24.43,15.93,0,0,164.62,0,0,1.06,22.3,12.74,1.06,0,0,0,1.06,2.12,0,0,5.31,0,1.06,0,544.83,0,9.56,1.06,1.06,5.31,0,3.19,0,0,49.92,5.31,1.06,0,0
 96-106,0,0,30.6,8.74,1.09,1.09,166.11,0,1.09,1.09,29.51,24.04,0,0,0,0,1.09,4.37,2.19,0,13.11,0,0,0,598.88,2.19,26.23,2.19,1.09,6.56,2.19,6.56,0,0,28.41,10.93,5.46,1.09,1.09
108-118,0,0,26.04,9.19,1.53,0,108,0.77,0.77,0.77,19.92,12.26,0,0,1.53,0,0,5.36,0,0,7.66,0.77,0,0.77,583.66,0,16.85,2.3,0,6.13,0,5.36,0,0,18.38,7.66,0,0,0.77
120,0,0,15.68,31.36,1.96,0,113.67,0,0,0,21.56,5.88,0,1.96,1.96,0,0,0,0,1.96,15.68,0,1.96,1.96,752.56,3.92,11.76,0,0,3.92,1.96,5.88,0,0,25.48,5.88,0,0,0
