stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,18.4,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,9.44,28.32,0,0,0,0,0,0,0,0
 14-21,0,0,2,17,1,0,0,0,0,0,1,0,4,0,0,0,0,1,4,0,1,7,0,0,0,0,579,3,0,0,4,0,0,0,0
 24-34,0,0,0,25.45,0.82,0,1.64,0,3.28,0.82,0,0,2.46,0,0,0.82,1.64,4.93,7.39,0,2.46,56.64,0,0,0,0,855.33,0,0,0.82,4.93,0,0,0,1.64
 36-46,0,0,0,12.89,0,0,6.45,0,3.22,0,0.81,0,0,0,0,0,0,4.03,5.64,0,0,29,0.81,1.61,0,0,765.39,0,0,0,2.42,0,0,0,0
 48-58,0,0,0,13.77,0,0,13.77,0,12.05,6.89,1.15,0,2.87,0,0,0.57,0.57,6.31,6.89,0,2.3,40.74,0,0.57,0,0,817.1,0,0.57,0,12.05,0,0,0,1.15
 60-70,0,0,0,30.43,0,0,6.87,0,5.89,0.98,0,0,3.93,0,0.98,0,0,2.94,3.93,0,0.98,19.63,0.98,0,0,0,527.08,0,0,0,2.94,0.98,0,0,0
 72-82,0,0,0,69.7,0,0,13.74,0,2.94,1.96,5.89,0,8.83,0,0,1.96,0,7.85,8.83,0,0.98,21.6,0,0.98,0,0,714.65,0,0,0,2.94,0.98,0,0,0
 84-94,0,0,0,109.39,2.12,0,6.37,0,25.49,1.06,11.68,1.06,31.86,1.06,0,1.06,0,5.31,12.74,0,1.06,13.81,0,1.06,1.06,0,1590.93,0,0,0,2.12,8.5,0,0,2.12
 96-106,0,1.09,0,205.46,3.28,1.09,12.02,0,38.25,5.46,15.3,1.09,29.51,1.09,4.37,1.09,0,12.02,16.39,2.19,0,36.06,0,4.37,1.09,0,1642.55,0,0,0,0,3.28,0,1.09,0
108-118,0,0,0,173.11,0.77,0,8.43,0.77,53.62,2.3,10.72,0.77,40.6,0,0,3.83,0,9.19,24.51,0.77,0.77,26.04,0,3.06,0.77,0,1664.44,0,0,0,2.3,7.66,0,0,0
120,0,0,0,129.35,0,0,1.96,0,47.03,1.96,15.68,0,21.56,0,0,0,0,5.88,15.68,0,0,19.6,0,3.92,0,0,881.9,0,0,0,0,0,1.96,0,0
