stage,blastomeres,epidermis,eye,glial,lateral.line,mesenchyme,neural,olfactory,paraxial.mesoderm,pgc,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,1
 24-34,0,0,0,0,0,0.82,0,0,0,0,2.46
 36-46,0,0,0,0,0,0,8.06,0,0,0,2.42
 48-58,0,0,12.62,0,0,0,9.75,0,0,0,1.72
 60-70,0,0,27.48,0,0,0,11.78,0,0,0,0.98
 72-82,0,0,27.49,0.98,0,0.98,21.6,0,0,0.98,0.98
 84-94,0,0,10.62,5.31,0,0,7.43,0,0,0,1.06
 96-106,0,0,9.84,0,1.09,0,8.74,0,0,0,1.09
108-118,0,0.77,13.02,1.53,0,0,10.72,0.77,0,0,0
120,0,0,1.96,0,0,0,5.88,0,0,0,0
