stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,93,0,0,0,0,0,0,1,6,2,0,0,0,0,3,0,0,2,47,1,0,0,1,0,3,1,18,0,1,2,0,0,37,0
 24-34,0,0,0,0.82,9.03,15.6,1.64,0,0,0,0,0,8.21,13.13,5.75,1.64,8.21,0,0,15.6,0,0,5.75,15.6,0,0.82,2.46,0,0,0,0,10.67,0,1.64,1.64,0,0,152.68,0
 36-46,0,0,0,0,2.42,0,4.03,0,0,0,0,0,4.83,16.92,0.81,4.03,12.89,0,0.81,15.31,0,0,6.45,15.31,0,0.81,0,0,0,0,0,4.03,0.81,0,2.42,0,0,62.84,0
 48-58,0,0,0,0,4.02,0.57,3.44,0,0,0,2.3,0,5.16,18.94,2.3,4.02,9.75,0.57,0.57,27.54,0,0,9.18,16.64,0.57,1.15,0.57,0,0,0.57,0,1.72,0,0,2.87,0,0,77.46,0
 60-70,0,0,0,0,7.85,0.98,8.83,0,0,0,9.82,0.98,4.91,36.32,1.96,7.85,9.82,0,0,57.91,0,0.98,4.91,13.74,0.98,0.98,0,0,1.96,6.87,0,1.96,0,0,5.89,0,0,41.22,0.98
 72-82,0,0,0,0,16.69,0,9.82,0.98,0,0,7.85,7.85,3.93,38.28,0,12.76,14.72,0,0,83.44,0,1.96,7.85,34.36,0.98,2.94,2.94,0,0,4.91,0,2.94,0,0,0.98,0,0,94.24,3.93
 84-94,0,0,1.06,0,12.74,0,13.81,0,1.06,1.06,3.19,13.81,5.31,60.54,3.19,6.37,13.81,0,0,45.67,0,2.12,11.68,9.56,0,2.12,0,0,4.25,3.19,0,3.19,0,0,2.12,1.06,2.12,80.71,0
 96-106,1.09,0,0,2.19,39.34,0,15.3,1.09,2.19,0,8.74,32.79,6.56,93.98,10.93,13.11,29.51,1.09,0,52.46,1.09,2.19,4.37,24.04,0,10.93,1.09,0,5.46,37.16,1.09,1.09,0,0,1.09,1.09,1.09,87.43,2.19
108-118,0,0,0,0.77,26.04,0,12.26,0,0,0,1.53,18.38,1.53,75.83,6.13,14.55,15.32,0,0,53.62,0,1.53,14.55,15.32,0.77,8.43,2.3,0,1.53,19.92,0,4.6,0,0,0,0.77,0.77,72.77,3.83
120,0,0,0,1.96,27.44,0,0,0,1.96,0,0,11.76,1.96,80.35,3.92,7.84,21.56,1.96,0,39.2,1.96,1.96,11.76,21.56,0,3.92,1.96,0,1.96,17.64,0,3.92,0,0,0,0,3.92,56.83,0
