stage,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,heart,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0.82,0,0,0,2.46,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0.81,0,0.81,0.81,4.83,1.61,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,1.72,0.57,1.15,0,0,0,0,0,1.15,0,0,0
 60-70,0,1.96,0,0,0,0,0,0,0.98,2.94,0,4.91,0,0,0,0,0,0,0,1.96,0
 72-82,0,0.98,0,0,0,0,0,0,0,4.91,0,1.96,0,0,0,0,0,0,0,0.98,0
 84-94,0,2.12,0,0,1.06,0,0,0,0,2.12,2.12,0,0,0,1.06,0,0,0,1.06,0,0
 96-106,0,5.46,1.09,0,0,0,0,0,0,3.28,0,2.19,0,1.09,0,0,0,0,0,2.19,0
108-118,0.77,4.6,0,0,0,0,0.77,0,0,3.06,0,3.06,0,0,0.77,0.77,0.77,0,0,1.53,0.77
120,0,5.88,0,0,0,0,0,0,0,3.92,1.96,7.84,0,0,0,0,0,0,0,1.96,0
