stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,44.69,5.26,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,34.62,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,2,51,0,2,0,0,0,0,1,0,0,9,0,0,0,0,0
 24-34,0,0,4.1,0,0,0,1.64,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0.82,0,0.82,9.85,7.39,0,20.52,0,0,0.82,0,0,0.82,0.82,19.7,0,0,0,0,0
 36-46,0,0,4.83,0,0,0,0.81,0,0,0,0,0.81,4.03,0,0,0.81,0,0,0,0.81,0,6.45,0,0,13.7,8.06,0,22.56,0,0,0.81,0,0,0,0,16.92,0,0,0,0,1.61
 48-58,0,0,5.16,0.57,0,0,4.59,0,0.57,0,0.57,0,1.72,0,0,1.72,0,0,1.72,0.57,1.15,10.9,0,0.57,21.23,6.31,1.15,28.69,0,0,5.16,0,0,0,0,12.62,0,0,0,0,4.02
 60-70,0,0,5.89,0,0,0,9.82,0,0,0,0.98,9.82,0,0,0,0.98,0,0,6.87,1.96,3.93,17.67,0,0,25.52,3.93,0,27.48,0,0,0.98,0,0,0,0,6.87,0,0,0,0,5.89
 72-82,0,0,20.61,0.98,0.98,0,20.61,0,0.98,0.98,2.94,24.54,0.98,0,0.98,0.98,0,0,67.73,1.96,17.67,36.32,0,0,89.33,0,0.98,43.19,0,0,6.87,0,0,0,0,8.83,0.98,0,0.98,0.98,8.83
 84-94,0,0,14.87,2.12,2.12,4.25,41.42,1.06,1.06,0,2.12,46.73,1.06,0,4.25,0,5.31,0,213.47,4.25,11.68,32.92,0,0,43.54,3.19,0,62.66,0,0,38.23,0,0,0,1.06,4.25,1.06,0,0,0,9.56
 96-106,0,0,19.67,14.21,1.09,14.21,77.59,1.09,2.19,1.09,7.65,69.94,1.09,0,3.28,0,7.65,1.09,485.22,7.65,39.34,51.36,2.19,3.28,108.19,0,1.09,57.92,0,0,22.95,1.09,0,0,0,13.11,2.19,2.19,5.46,0,12.02
108-118,0,0,13.79,11.49,2.3,55.92,71.23,0.77,1.53,0.77,10.72,91.92,0,0,0,0,12.26,0,1089.97,9.19,26.81,36,0.77,1.53,124.09,2.3,2.3,72.77,0,0.77,22.21,0,0,0.77,0,4.6,2.3,0,2.3,0,18.38
120,0,0,19.6,27.44,1.96,47.03,33.32,0,0,0,9.8,72.51,0,1.96,0,0,9.8,0,576.18,1.96,47.03,37.24,0,1.96,229.29,0,0,88.19,0,0,7.84,0,0,0,0,5.88,1.96,0,5.88,0,3.92
