stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,iridophores,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord,visceral.smooth.muscle
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,13,0
 24-34,0,0,0.82,0,0,0,0,0,0,1.64,0,0.82,19.7,0,0,0,30.37,0
 36-46,0,0,0.81,0,0.81,0,0,0,0,0,0,0,15.31,0,0,0,57.2,0
 48-58,0,0,0,0,7.46,0,0.57,0,0,0.57,0,0,32.71,0,0,0,50.49,0
 60-70,0,0,0.98,0,14.72,0,0,0,0,0,0,0,40.24,0,0,0,42.21,0
 72-82,0,0,2.94,0,15.71,1.96,1.96,0.98,0,1.96,0,0,65.77,0,0,0,19.63,0
 84-94,0,0,2.12,0,10.62,0,2.12,0,0,0,1.06,0,55.23,0,0,1.06,4.25,1.06
 96-106,0,0,1.09,0,9.84,0,1.09,3.28,1.09,1.09,0,0,41.53,2.19,0,0,5.46,0
108-118,0.77,0.77,1.53,0,5.36,0,1.53,0.77,0,1.53,0,0,56.68,1.53,0,0.77,6.89,0
120,0,1.96,0,1.96,1.96,0,1.96,0,0,0,0,0,43.12,0,0,0,13.72,0
