stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,474.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,24.52,429.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,36.8,5.26,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,22.03,0,0,0,0,6.29,0,0,0,0,0,0,0,132.17,0,0,0,3.15,0,3.15,6.29,0,0,0,0,0,0
 14-21,0,0,3,4,16,0,0,6,0,0,2,0,4,0,1,0,0,0,0,0,96,1,2,5,0,5,0,0,0,57,0,0,0,0
 24-34,0,0,1.64,3.28,10.67,0,0,4.1,0.82,0,1.64,0,0,0,4.1,0,0,0,1.64,1.64,183.05,0,4.93,9.03,0,33.66,0,0,0,59.1,0,0,0,0
 36-46,0,0,0,0.81,5.64,0,0,5.64,0,0,8.86,0,0,0,0,0.81,0.81,2.42,4.03,0,357.72,0,10.47,2.42,0,22.56,0,0,0,100.71,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,30.99,0,0.57,12.05,0.57,0.57,0,0,2.3,0.57,1.15,2.87,1.15,426.34,0,1.72,6.89,0,9.75,0,0,0,68.86,0,0,0,0
 60-70,0,0,0.98,0,0.98,0,0,75.58,0.98,0.98,28.46,0.98,2.94,0,0.98,1.96,0,4.91,1.96,0.98,781.29,0,7.85,8.83,0,15.7,0,0,0,103.06,0,0,0,0.98
 72-82,0,0,0.98,0,6.87,0.98,0,106.02,0,0.98,39.27,6.87,0.98,0,0.98,7.85,1.96,12.76,5.89,0.98,691.09,0,2.94,10.8,0,9.82,0,0,0,53.99,0.98,0,0,0.98
 84-94,0,0,1.06,0,13.81,0,1.06,87.09,1.06,1.06,21.24,7.43,2.12,1.06,2.12,8.5,2.12,12.74,5.31,0,387.64,1.06,10.62,16.99,0,37.17,0,0,0,29.74,5.31,1.06,1.06,0
 96-106,0,0,0,0,8.74,0,0,49.18,0,0,22.95,14.21,0,0,1.09,10.93,0,6.56,7.65,0,292.88,0,9.84,16.39,0,16.39,0,1.09,0,9.84,6.56,0,0,0
108-118,0,0,0.77,1.53,8.43,0.77,0.77,41.36,0,0.77,18.38,10.72,0,0,1.53,6.89,1.53,6.89,2.3,0.77,296.43,1.53,3.83,13.02,0,17.62,0,1.53,0.77,6.13,4.6,0,0,0
120,0,0,0,0,3.92,0,0,25.48,0,0,23.52,9.8,0,0,3.92,1.96,0,9.8,1.96,1.96,231.25,0,1.96,7.84,0,21.56,0,0,0,0,0,0,0,0
