stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,3.15,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,5,2,1,0,0,0,6,0,1,1,0,0,1,3,0,0,3,171,0,0,1,0,0,0,3,0,5,7,58,0,0,0,0,0
 24-34,0,0,0,0,1.64,0.82,10.67,0,0.82,0,4.93,0,0,0,0,0,0,5.75,0,0,2.46,746.98,0,4.1,0,0,0,0,0,0.82,0.82,0.82,201.11,0,0,3.28,0,0
 36-46,0,0,0,0,1.61,0,82.18,0,0,0,22.56,0,0,0,0,0,0,9.67,0,0,3.22,1365.61,0,4.83,0.81,0,0,0.81,0,0,1.61,0,295.68,0,0,0.81,0,0.81
 48-58,0,0,0.57,0,0.57,0.57,169.85,0,0,2.3,60.82,0,0,0,0,0,0,14.92,0,0,4.59,1103.43,0,2.87,0,0,0,0,0,0,0,0,277.15,0,0,1.72,0,0
 60-70,0,0,0,0,0,0,237.53,0,0.98,0,65.76,0,0,0,2.94,0,0,15.7,0.98,0,1.96,808.77,0,2.94,0,0,0,0,0,0.98,0,0,121.71,0,0,0,0,0.98
 72-82,0,0,2.94,0,1.96,0,253.27,0,0.98,0,92.28,0.98,1.96,0,0.98,0,0,44.17,0,1.96,1.96,662.62,0,1.96,0,0,0.98,0.98,0,0,0,0,53.01,0.98,1.96,0,2.94,0.98
 84-94,0,0,0,0,6.37,1.06,145.5,1.06,0,1.06,41.42,0,0,1.06,0,0,0,8.5,0,1.06,3.19,288.87,0,3.19,1.06,0,0,0,0,0,0,0,28.68,2.12,0,0,1.06,2.12
 96-106,0,0,1.09,0,14.21,1.09,115.84,0,1.09,1.09,34.97,1.09,0,3.28,0,1.09,1.09,26.23,2.19,1.09,3.28,278.68,0,4.37,2.19,0,1.09,3.28,0,1.09,0,0,17.49,0,2.19,5.46,2.19,0
108-118,0,0,0.77,0,6.13,0.77,78.13,0,0.77,0.77,27.57,0,0,0.77,0,0,0,13.02,0,0.77,1.53,272.68,0,0.77,0,0,0.77,0,0,0,0,0,11.49,0,1.53,3.06,3.06,0
120,0,0,1.96,0,11.76,0,56.83,0,0,0,23.52,0,0,0,0,0,0,9.8,0,0,1.96,262.61,0,1.96,1.96,0,0,0,0,0,0,0,3.92,0,0,0,0,0
