stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,4.83,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,0,1.15,0,0,0.57,0,0,0,0.57,0.57,0,0,6.31,0,0,0,0,0,0,1.15,0,0,0,0
 60-70,0,5.89,0,0,8.83,0,16.69,0,0,1.96,0.98,0,0,0,0.98,0.98,0.98,0,0,5.89,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,41.23,0,0,23.56,0,33.38,0,0.98,2.94,3.93,0,0.98,0,0.98,1.96,16.69,0,0,11.78,0,0,2.94,1.96,0,0,1.96,2.94,0.98,0,0
 84-94,1.06,122.13,0,0,24.43,0,84.96,0,0,23.36,0,1.06,4.25,0,6.37,3.19,19.12,0,0,10.62,0,1.06,1.06,3.19,0,0,0,20.18,0,0,0
 96-106,1.09,559.54,3.28,0,30.6,2.19,219.66,1.09,4.37,101.63,0,0,3.28,2.19,1.09,9.84,33.88,0,2.19,30.6,0,1.09,0,13.11,0,1.09,3.28,85.24,2.19,1.09,0
108-118,3.06,782.81,0,0.77,31.4,0.77,399.07,0,1.53,108.77,0,0,3.06,0.77,6.89,8.43,22.21,0,0.77,31.4,0,2.3,3.06,7.66,0,0,0,124.09,5.36,0,0.77
120,0,874.06,3.92,1.96,21.56,1.96,378.24,3.92,0,43.12,0,0,0,0,1.96,5.88,23.52,1.96,1.96,45.08,1.96,1.96,0,13.72,1.96,0,0,56.83,7.84,0,0
