stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,237.2,4348.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0
  5-6,116.46,1838.89,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,36.78,0,0,0,24.52,0,24.52,0,0,0,0,0,0,0,0,0
  7-9,21.03,21.03,36.8,0,0,63.09,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,546.77,15.77,0,0,223.44,0,2.63,7.89,0,0,0,0,0,0,0,0
 10-12,0,15.73,25.18,0,6.29,34.62,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,468.9,28.32,0,0,191.97,0,3.15,3.15,0,25.18,0,0,0,0,0,0
 14-21,0,1,4,33,8,13,0,0,8,3,2,0,0,1,0,0,0,17,0,14,213,18,1,1,10,0,3,0,10,0,18,90,0,1,0,0
 24-34,0,0,1.64,10.67,1.64,56.64,0.82,0.82,8.21,1.64,0.82,0.82,1.64,0,0,1.64,0,38.58,0.82,28.73,359.53,8.21,3.28,1.64,0,0,9.03,0,0,2.46,0.82,78.8,0,8.21,0,1.64
 36-46,0,0,0,11.28,0,116.82,0,0.81,4.83,0,0,0.81,0,0,1.61,0,0.81,33.84,1.61,12.89,266.68,4.03,1.61,2.42,0,0,1.61,0,0.81,0,0,63.65,0,0.81,0,0
 48-58,0,0,0,5.16,0,144.6,0,1.15,9.18,0.57,0,0,0.57,0,2.87,0,0.57,40.17,0,5.16,96.97,1.15,0,1.72,0,0,0,0,0,0,0,14.92,0,3.44,0,1.15
 60-70,0,0,0,4.91,0.98,98.15,0,0,10.8,0.98,0,0,0,0,0,0,0,28.46,2.94,5.89,72.63,2.94,1.96,0.98,0,0,0,0,0,0,0,10.8,0,2.94,0,0.98
 72-82,0,0,0,8.83,0,34.36,0,0.98,10.8,0,0,0,0.98,0.98,0,0.98,0.98,35.34,0,2.94,48.1,0,0.98,0.98,0,0,0.98,0,0,0.98,0,4.91,0,0.98,0.98,0
 84-94,0,0,0,9.56,1.06,38.23,1.06,1.06,15.93,0,0,1.06,5.31,2.12,1.06,1.06,0,35.05,2.12,1.06,49.92,1.06,0,3.19,0,0,7.43,0,0,2.12,0,2.12,0,6.37,0,0
 96-106,0,0,0,5.46,0,25.14,0,0,10.93,4.37,0,2.19,3.28,0,0,1.09,0,28.41,1.09,1.09,32.79,1.09,0,1.09,0,0,1.09,0,0,0,0,0,0,3.28,1.09,0
108-118,0,0,0.77,9.96,2.3,26.04,0,1.53,16.85,1.53,0,0,3.83,0.77,0.77,0.77,3.83,13.02,0,3.83,50.55,1.53,0.77,3.06,0,0.77,2.3,0,0,0.77,0,0.77,0.77,3.06,0,0
120,0,0,0,5.88,0,17.64,0,0,17.64,0,0,0,7.84,1.96,1.96,0,1.96,21.56,1.96,3.92,64.67,1.96,0,1.96,0,0,5.88,0,0,0,0,1.96,0,1.96,0,0
