stage,axial,blastomeres,epidermis,exocrine.pancreas,eye,glial,gut,hatching.gland,heart,ionocyte,mesenchyme,neural,olfactory,otic,periderm,spinal.cord,vasculature
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
 24-34,0,0,0.82,0,0,0.82,0,0,0,0.82,0,10.67,0.82,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,15.31,0,1.61,0,1.61,0
 48-58,0,0,0,0,2.87,1.72,0,0,0,0,0,10.9,0.57,0,0.57,1.15,0
 60-70,0,0,0,0,2.94,0.98,0,0,0,0,0,6.87,0,0,0,1.96,0
 72-82,0,0,0,0,4.91,0.98,0,0,0,0,0,13.74,0,0,0,2.94,0
 84-94,0,0,0,0,2.12,4.25,1.06,1.06,0,0,1.06,5.31,0,0,0,0,0
 96-106,0,0,0,0,3.28,0,0,0,0,0,1.09,7.65,0,0,0,0,1.09
108-118,0,0,0,0.77,5.36,3.06,0,0,0,0,0,3.83,0,0,0,0.77,0
120,0,0,0,0,5.88,0,1.96,0,0,0,0,3.92,0,0,0,0,0
