stage,blastomeres,endocrine.pancreas,endoderm,eye,glial,gut,hatching.gland,immune,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,34.62,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,8,0,0,0,0,1,0,0,11,2,2,0,1,1,11,0,30,0,0
 24-34,0,0,0.82,0,8.21,0,0,0,0,0.82,0,0,14.78,9.03,0,0,0,0,4.93,0.82,29.55,0,0.82
 36-46,0,0,0,0,3.22,0,0,0,0,0,0,0,21.75,15.31,2.42,0,0,0,4.83,0,19.34,0,0
 48-58,0,0,0,1.72,10.9,0,0,0.57,0.57,1.15,0,0,14.35,8.03,1.15,0,0,0,4.02,0,18.94,0,0.57
 60-70,0,0,0,0.98,13.74,0,0,0.98,0.98,0,0.98,0,15.7,11.78,1.96,0,0,0,1.96,0,11.78,0,0
 72-82,0,0.98,0,2.94,16.69,0,0,6.87,1.96,0.98,0,0,8.83,13.74,2.94,0,0,0,1.96,0,8.83,0,0
 84-94,0,1.06,0,5.31,11.68,0,0,9.56,2.12,0,0,1.06,8.5,14.87,4.25,0,0,0,2.12,0,2.12,1.06,0
 96-106,0,1.09,0,2.19,2.19,0,0,9.84,5.46,0,0,1.09,4.37,16.39,3.28,0,1.09,0,1.09,0,8.74,0,0
108-118,0,0,0,0,8.43,0.77,0,6.13,3.06,0.77,0,0,3.83,13.79,3.83,0,0.77,0,1.53,0,3.06,0,0
120,0,3.92,0,3.92,0,0,0,7.84,1.96,0,0,0,7.84,13.72,5.88,0,0,0,3.92,0,1.96,3.92,0
