stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,37.76,3.15,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,4,0,0,1,51,1,0,0,1,0,1,14,0,13,21,0,0,0,0,0
 24-34,0,0,0,0,0,0,8.21,0,0.82,2.46,0,0,0,0,0,2.46,0,0,2.46,114.1,0,4.1,0,0,0,0.82,0,0,0,32.83,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,6.45,0.81,0.81,15.31,0,0,0.81,0,0,0,0,0,0.81,412.5,0.81,3.22,0,0,0,1.61,0,0,0,69.29,0,0,0.81,0,0
 48-58,0,0,0,0,1.72,0,43.04,0,0.57,24.1,0,0.57,0,0,0,6.89,0,0,0.57,529.62,1.15,0.57,0,0,0,0,0,0,0,53.94,0,0,0,0,1.72
 60-70,0,0,0,0,0.98,0,214.95,0.98,0,61.84,0,0,0,0,0,9.82,0,0,0.98,925.58,0,3.93,0,0,0,0,0,0,0,123.67,0,0,0,0.98,0
 72-82,0,0,0.98,0,3.93,0,264.07,0,1.96,91.29,0.98,0,0,0,0.98,25.52,0,1.96,1.96,786.31,0,1.96,2.94,0,0.98,1.96,0,0,0,58.9,0,0.98,2.94,3.93,0.98
 84-94,0,0,0,0,4.25,1.06,167.8,0,1.06,66.91,0,0,0,0,0,13.81,0,1.06,1.06,364.28,1.06,0,2.12,0,0,1.06,0,0,0,37.17,0,1.06,1.06,1.06,0
 96-106,0,0,0,0,2.19,0,156.28,0,1.09,55.74,0,0,0,0,0,19.67,0,2.19,0,363.92,0,2.19,1.09,0,0,3.28,0,0,0,12.02,1.09,0,0,3.28,0
108-118,0,0,0.77,0,6.13,0,102.64,0.77,0,42.13,0.77,0,0.77,1.53,0,19.15,0.77,0,0.77,353.11,0,0,2.3,0,0.77,0,0,0,0,10.72,0.77,0.77,0,4.6,0.77
120,1.96,0,0,0,5.88,0,72.51,1.96,3.92,43.12,0,0,1.96,0,1.96,15.68,1.96,0,0,282.21,0,0,0,0,0,0,0,0,0,9.8,0,0,0,1.96,0
