stage,endoderm,epidermis,erythrocytes,eye,glial,gut,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0
 14-21,1,5,2,0,0,0,3,2,3,1,0,0,0,1,7,6
 24-34,0,0,0,0,1.64,0,4.1,4.1,0.82,0,0,0,0,0,2.46,2.46
 36-46,0,0,0,0,0,0,2.42,2.42,1.61,0,3.22,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0,2.3,0,1.72,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,4.91,0,0.98,0,0,0
 72-82,0,0,0,0,0,0,1.96,0,0.98,0,1.96,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,1.06,0,0,0,4.25,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,3.28,0,14.21,0,0,0,0,0
108-118,0,0.77,0,0,0,0.77,1.53,0,0,0,4.6,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0
