stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,notochord,otic,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.36,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,3.22,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,3.44,0,0,0.57,0,0,0,0,0,2.3,0,0,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,40.24,0,0,0,0,0,0,0,0,1.96,0,0,8.83,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0.98,203.2,0,0,1.96,0,0.98,0,0,0,6.87,0,0,18.65,0,0,0,0,1.96,0.98,0.98,0
 84-94,0,0,0,1.06,0,143.38,0,0,1.06,0,0,0,0,0,3.19,0,0,9.56,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,4.37,1.09,461.18,1.09,0,4.37,0,0,2.19,0,0,6.56,1.09,0,13.11,0,1.09,1.09,1.09,0,0,1.09,1.09
108-118,0,0,3.06,0.77,0,392.94,0,0.77,2.3,0.77,0,0.77,0,0.77,6.13,0,0.77,19.92,0.77,1.53,0.77,0,0,0.77,0.77,0
120,0,0,3.92,3.92,3.92,486.03,0,0,3.92,3.92,0,0,1.96,0,3.92,0,0,33.32,0,1.96,0,0,0,0,0,0
