stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0.82,0,0,0,0,0,0,19.7,0,0,0,0,0,0,0,4.93,0,0,0
 36-46,0,0,0,0,0,0.81,0.81,0,0,0,0,0,0,0,0,0,0,53.17,0,0,0.81,0,0,0,0,4.83,0,0,0.81
 48-58,0,0,0,0.57,0,4.59,0,0.57,0.57,0,0,0,0,0,0,2.3,0,83.78,0,0.57,0,0,0,0,0,5.16,0,0,1.15
 60-70,0,0,0,0,0,21.59,0,0,1.96,0,0.98,0,0.98,0,0.98,0.98,0,245.38,0,1.96,0,0,0,0.98,0.98,15.7,0,0,0
 72-82,0,0,0,0.98,0,35.34,0,0,1.96,2.94,0,0,0,0,0,10.8,0.98,319.04,0,0,0,0,0.98,0.98,0,8.83,0,0,1.96
 84-94,0,1.06,0,1.06,1.06,25.49,0,0,2.12,2.12,0,1.06,0,0,0,2.12,0,174.17,0,0,0,0,0,0,0,5.31,0,1.06,1.06
 96-106,0,0,0,4.37,1.09,18.58,0,0,6.56,3.28,0,1.09,1.09,1.09,0,6.56,2.19,143.16,0,0,0,0,0,0,0,6.56,0,1.09,0
108-118,0,0,0,2.3,0.77,15.32,0,0,6.89,0.77,0,0,0,0,0,2.3,0,178.47,0,0,0,0,0,1.53,0,1.53,0.77,0,0
120,0,0,0,1.96,0,11.76,0,0,7.84,0,0,0,1.96,0,0,3.92,0,264.57,1.96,0,0,0,0,7.84,0,5.88,0,0,1.96
