stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,73.6,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,12.59,0,3.15,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,236.02,12.59,0,0,31.47,0,0,3.15,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,1,2,14,2,0,42,0,0,7,0,0,0,0,0,0,0,16,0,12,301,6,3,3,2,0,0,2,3,2,5,105,0,0,0,0,0
 24-34,0,2.46,1.64,10.67,0,0,45.97,0,0,12.31,3.28,0,0,0,0,0,0.82,34.48,0,12.31,504.01,0.82,2.46,0.82,0,0,0.82,0,0,1.64,0,137.08,0,0,3.28,0,0
 36-46,0,0,0,0.81,0,0,50.76,0,0.81,33.84,1.61,0.81,0,0,0,0,0,42.7,0.81,12.89,752.5,1.61,2.42,0,0,0,1.61,0,0,0,0,195.78,0,0,2.42,0,0
 48-58,0,0,0,0.57,0,0,75.74,0,3.44,50.49,0,0.57,0,0,0,1.15,0,56.81,1.72,12.62,612.82,1.15,2.3,1.15,0,0.57,0,0,0,0,0,124.52,0,1.15,3.44,0,0
 60-70,0,0,0,0.98,0,0,146.25,0,2.94,64.78,0,1.96,0,0,0,0,0.98,78.52,0.98,5.89,859.81,0,2.94,0,0,0,0,0,0,0,0,125.63,0,2.94,2.94,0,0.98
 72-82,0,1.96,0,0,0.98,0,127.62,0,6.87,55.95,2.94,1.96,0,0,0,0,0,99.15,2.94,8.83,589,0,3.93,7.85,0,0,0,0,0,0,0,53.01,0,0,6.87,2.94,0
 84-94,0,0,0,4.25,0,0,104.08,0,4.25,44.61,1.06,0,0,0,1.06,1.06,0,59.47,4.25,4.25,322.86,0,2.12,1.06,0,0,0,0,0,1.06,0,40.36,0,0,6.37,7.43,1.06
 96-106,0,0,0,4.37,0,0,69.94,1.09,1.09,39.34,3.28,0,0,1.09,0,0,0,62.29,1.09,5.46,265.56,0,3.28,3.28,0,0,2.19,0,0,0,0,18.58,0,3.28,5.46,0,1.09
108-118,0,1.53,0,5.36,0.77,0.77,62.81,0,4.6,52.85,1.53,0,1.53,0.77,0,0.77,0,55.15,2.3,3.06,305.62,0.77,4.6,4.6,0,0,0.77,0,0,0,0,12.26,0.77,0,4.6,2.3,0
120,0,0,0,7.84,1.96,0,39.2,0,5.88,47.03,1.96,0,0,0,0,1.96,1.96,64.67,0,5.88,243.01,0,3.92,1.96,0,0,0,0,0,0,0,13.72,0,0,3.92,0,0
