stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,9.85,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,1.61,0,0,0,0,0,3.22,0,0,0,0,0,8.06,0,0,0,0,0,0
 48-58,0,0.57,0,0,0,0.57,0,0,0,8.61,0,0,0,0.57,13.2,0,0,0,0,0,2.3,0,0,0.57,0,0,16.07,0.57,0,0,0,0,0
 60-70,0,0,0,0,1.96,0.98,0,0,0.98,28.46,0,0,0.98,0,39.26,0,0,0,0.98,0,2.94,0,0,0.98,0,0,23.56,0.98,0,0,0,0,0
 72-82,1.96,0,0.98,0,34.36,10.8,0,0,3.93,110.93,0,0,0,0,124.67,0.98,7.85,0.98,0,0,41.23,0,0,0,0,2.94,65.77,1.96,0.98,0,0,0,0
 84-94,1.06,0,0,2.12,86.03,10.62,0,1.06,1.06,260.2,3.19,1.06,0,0,451.37,0,3.19,0,0,1.06,30.8,0,0,0,0,2.12,139.13,0,0,0,0,0,0
 96-106,0,9.84,2.19,3.28,138.79,20.76,1.09,2.19,7.65,387.96,2.19,0,0,3.28,687.4,0,15.3,1.09,0,3.28,124.58,1.09,0,4.37,0,6.56,144.26,1.09,1.09,0,4.37,1.09,1.09
108-118,0,9.96,5.36,0.77,354.64,13.79,0.77,1.53,7.66,445.02,1.53,0.77,0.77,3.06,1296.01,0.77,13.79,0.77,0,0.77,88.09,0,0.77,0.77,0.77,8.43,141.7,0,0.77,0,3.83,0,0.77
120,0,3.92,9.8,3.92,125.43,7.84,3.92,0,0,274.37,1.96,0,0,1.96,629.09,0,9.8,0,0,0,60.75,1.96,0,3.92,0,1.96,88.19,1.96,0,1.96,0,0,0
