stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.51,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.66,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,18.88,0,0,47.2,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,871.71,9.44,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,118,8,23,0,0,0,0,1,0,0,0,0,0,0,21,0,13,892,4,1,0,0,0,0,5,1,1,3,145,0,0,0
 24-34,0,0,9.03,0,41.04,0,0.82,4.93,0,0,0,0.82,0,0,1.64,0,9.03,0,8.21,976.82,0,10.67,0.82,0,0,2.46,0,0,0.82,0.82,119.02,0,1.64,1.64
 36-46,0,0,1.61,0,100.71,0,0.81,87.01,0,0,0,0,0,0.81,0,0,14.5,0,4.03,934.58,0,4.03,0.81,0,0.81,2.42,0.81,0,0,0,81.37,0.81,0,0
 48-58,0.57,0,4.02,0,111.89,0,0,156.65,0,0,0,0.57,0.57,0,0,0.57,10.9,0,1.15,544.54,1.15,1.15,0,0,0,0,0,0,0.57,0,39.02,0,0,1.15
 60-70,0,0,3.93,0,106.99,0,0.98,113.86,0.98,0,0.98,0,0,0,0,0,13.74,0,0,265.99,0,0.98,0,0,0,0.98,0,0,0,0,10.8,0.98,0,0
 72-82,0,0,3.93,0,129.58,0.98,0,104.06,0,0,0,0,0.98,0,0,0,5.89,0,0,218.91,0,0,2.94,0,0.98,1.96,0,0,0,0,5.89,0,0.98,0.98
 84-94,0,0,2.12,0,103.02,0,0,77.53,0,0,0,0,0,0,0,0,9.56,0,0,137,0,1.06,5.31,0,0,0,0,0,0,0,9.56,0,0,0
 96-106,0,0,7.65,1.09,98.36,1.09,0,74.31,0,0,0,0,0,0,1.09,0,5.46,0,1.09,121.31,0,0,5.46,0,0,2.19,0,0,0,0,4.37,0,0,0
108-118,0,0,2.3,0.77,80.43,0,0.77,66.64,0,0,0.77,0,0,0,0,0,6.13,0.77,1.53,160.85,0,1.53,5.36,0,0,0.77,0,0,0,0,0.77,0,0,0
120,0,0,3.92,0,47.03,0,0,56.83,0,0,0,0,0,0,0,0,7.84,0,0,135.23,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0
