stage,eye,fast.muscle,fin.mesenchyme,glial,mesenchyme,muscle,neural,periderm,slow.muscle,somites,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,1,0,0,1,0,0
 24-34,0,0.82,0,0,0,0,2.46,0,2.46,0.82,0,0.82
 36-46,0,4.03,0,0,0,1.61,0.81,0,0,0,0,0
 48-58,0.57,2.87,0,0.57,1.15,0,3.44,0.57,1.15,0,0.57,0
 60-70,0.98,9.82,0,0,0.98,0,2.94,0,0.98,0,0,0
 72-82,0,0.98,0,0.98,0,0,2.94,0,0.98,0,0,0
 84-94,1.06,3.19,0,0,1.06,0,0,0,0,0,0,0
 96-106,2.19,0,1.09,0,0,1.09,1.09,0,0,0,0,0
108-118,0.77,2.3,0,0,0,0.77,0,0,0.77,0,0,0
120,0,1.96,0,0,0,0,1.96,0,0,0,0,0
