stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,579.83,10239.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500.76,0,0,0,0,0,0,0,0,0,0,0
  5-6,1293.35,15078.9,0,30.65,0,0,0,0,0,0,0,0,0,42.91,0,0,0,0,0,0,0,0,0,0,0,398.43,30.65,0,0,128.72,318.74,0,0,0,0,0,0,0,0,0,0,0
  7-9,218.18,336.48,0,601.98,0,7.89,0,1198.69,0,0,0,0,0,470.54,0,0,0,0,0,0,0,0,0,0,0,10596.34,283.9,0,0,3890.5,34.17,44.69,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,343.02,0,336.73,0,69.23,0,893.74,0,0,0,0,0,176.23,0,0,0,0,0,0,0,0,0,0,0,7480.35,129.03,0,0,2970.74,9.44,37.76,12.59,289.52,0,15.73,3.15,0,0,0,0,0
 14-21,0,0,0,8,119,40,0,97,0,0,0,27,3,0,0,0,2,1,1,0,0,64,0,0,60,1242,35,4,3,44,19,0,128,7,0,85,363,0,0,4,0,0
 24-34,0,0,0.82,6.57,76.34,78.8,0,697.73,0,0.82,0,52.53,2.46,0.82,3.28,4.1,3.28,2.46,5.75,4.93,0,314.39,2.46,0.82,109.17,3128.28,9.03,24.63,31.19,0,47.61,0,0.82,1.64,0,14.78,652.58,0,0,37.76,0,3.28
 36-46,0,0,0,1.61,48.34,53.17,0,1446.98,0,3.22,0.81,49.95,1.61,0,1.61,4.83,1.61,4.03,1.61,4.83,0.81,287.62,0.81,8.06,84.6,2266.35,6.45,20.14,15.31,0,24.17,0,0.81,1.61,0.81,0,502.74,0,0,26.59,0,2.42
 48-58,0,0,0,0.57,25.25,27.54,0,1399.51,0,2.87,1.15,57.38,4.02,0,1.72,4.02,1.72,3.44,4.59,2.87,0,251.33,0.57,12.62,47.63,853.82,1.15,4.59,9.75,0,10.9,0,0,0.57,0.57,0,127.38,0,0,9.75,0,0
 60-70,0,0,0,0,73.61,2.94,0,1053.17,0,0.98,0,81.47,11.78,0,1.96,8.83,0,4.91,5.89,4.91,0,242.44,2.94,19.63,37.3,597.75,1.96,4.91,3.93,0,4.91,0,0,0.98,0,0,29.45,0,0.98,15.7,0,1.96
 72-82,0,0,0,0,43.19,6.87,0.98,358.31,0.98,0,0.98,66.75,7.85,0,2.94,3.93,4.91,1.96,0.98,0.98,0,173.75,0,5.89,31.41,334.75,0,5.89,11.78,0,2.94,0,0,0,0,0,7.85,1.96,0,15.71,0,1.96
 84-94,0,0,0,1.06,61.6,9.56,1.06,321.8,0,1.06,0,50.98,29.74,0,1.06,12.74,7.43,3.19,1.06,5.31,0,181.61,0,23.36,45.67,338.79,2.12,8.5,9.56,0,11.68,0,0,0,0,0,3.19,5.31,0,20.18,1.06,1.06
 96-106,0,0,1.09,0,25.14,10.93,0,189.06,0,0,2.19,52.46,10.93,0,3.28,15.3,5.46,2.19,2.19,1.09,0,77.59,0,5.46,13.11,198.9,1.09,7.65,5.46,0,4.37,0,0,2.19,0,0,3.28,1.09,0,15.3,1.09,0
108-118,0,0,0,0,16.85,14.55,0.77,170.04,0,0,0,37.53,11.49,0,0.77,6.89,3.06,2.3,3.83,1.53,0,39.06,0,3.83,17.62,210.64,1.53,4.6,3.83,0,4.6,0,0,0.77,0,0,3.06,1.53,1.53,16.09,0,0
120,0,0,0,0,25.48,29.4,0,254.77,0,0,1.96,48.99,3.92,0,1.96,19.6,3.92,1.96,1.96,7.84,0,47.03,0,3.92,19.6,335.12,0,3.92,3.92,0,1.96,0,0,0,0,0,0,0,0,11.76,0,0
