stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,1146.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,294.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,13.14,0,0,0,15.77,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,147.21,5.26,0,0,47.32,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,12.59,0,3.15,0,18.88,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,273.79,15.73,0,0,81.82,0,0,3.15,0,15.73,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,4,1,0,3,0,0,0,1,0,0,1,0,0,0,3,0,0,4,55,1,0,1,0,0,0,1,11,0,0,8,24,0,0,0,0,0
 24-34,0,0,0,0,3.28,0,0,12.31,0,0.82,0,5.75,0,0,0,0,0.82,0,18.06,0,0,7.39,168.28,0.82,0.82,2.46,0,0,2.46,0,0,0,0,4.1,32.83,0,0,4.93,0,0
 36-46,0,0,0,0,0.81,0,0,33.84,0,0,0.81,7.25,0,0,0.81,0,0,0,14.5,0,0,3.22,178.05,0.81,1.61,0,0,0,4.03,0,0.81,0,0,0,33.84,0,0,1.61,0,0
 48-58,0,0,0,0,3.44,0,0,71.15,0,0,0,10.9,0,0,0,0.57,0.57,0,24.67,0,0,5.16,154.35,0.57,2.3,0.57,0,0,0.57,0,0,0,0.57,0,30.99,0,0,1.72,0,0
 60-70,0,0,0,0,0.98,0.98,0,76.56,0,0,0.98,13.74,0.98,0,0,0,0,0.98,24.54,0,0.98,2.94,147.23,1.96,0.98,0,0,0,0.98,0,0,0,0,0,26.5,0,1.96,0.98,0,2.94
 72-82,0,0,0.98,0,2.94,2.94,0,55.95,0.98,0,0.98,12.76,0.98,0,0.98,0,0,0,36.32,0,0,4.91,84.42,0,1.96,0.98,0,0,0,0,0,0.98,0,0,3.93,0,0,1.96,1.96,0
 84-94,0,0,0,0,4.25,1.06,1.06,43.54,0,2.12,0,9.56,2.12,0,0,1.06,2.12,0,23.36,0,0,1.06,59.47,1.06,1.06,1.06,0,0,2.12,0,0,0,0,0,4.25,0,0,1.06,0,0
 96-106,0,0,0,0,0,1.09,0,22.95,0,1.09,1.09,10.93,1.09,0,1.09,0,0,0,13.11,0,0,2.19,33.88,1.09,2.19,0,0,1.09,6.56,0,0,0,0,0,1.09,0,4.37,2.19,0,2.19
108-118,0,0,0.77,0.77,0.77,3.06,1.53,22.98,0.77,0,0.77,4.6,1.53,0,0,0.77,0.77,0,6.13,0.77,1.53,0.77,49.79,0,0.77,0.77,0,0.77,1.53,0,0,0.77,0,0,1.53,0,0,3.06,0.77,1.53
120,0,0,0,0,5.88,3.92,0,5.88,1.96,0,0,5.88,0,0,0,3.92,0,1.96,3.92,0,0,1.96,27.44,1.96,0,0,0,0,3.92,0,0,0,0,0,1.96,1.96,0,0,0,0
