stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0
 10-12,6.29,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,78.67,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,5,0,0,0,1,0,1,0,3,0,0,5,3,2,2,0
 24-34,0,0,0.82,0,0,0.82,0,0.82,22.16,0,0,0,0.82,4.93,4.93,0,0,0,0,0,10.67,2.46,0.82,0.82
 36-46,0,0.81,0,0,0,0,0,0,25.78,0,0,0,0,1.61,0.81,0,0,0,0,0,14.5,0,0,0
 48-58,0,0,0,0,1.15,0,0,0.57,19.51,0,0,0.57,0.57,4.02,0,1.15,0,0,0,0,4.59,0,0,0
 60-70,0,0,0,0,1.96,0.98,0.98,0,27.48,0,0.98,0,0,1.96,0,0.98,0,0,0,0,8.83,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,33.38,1.96,0.98,0,0,2.94,0,0,0,0,0,0,6.87,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,40.36,2.12,8.5,0,0,2.12,0,1.06,0,0,0,0,19.12,0,0,0
 96-106,0,1.09,1.09,1.09,0,0,0,0,40.44,1.09,9.84,2.19,0,3.28,0,2.19,0,1.09,0,0,12.02,0,1.09,1.09
108-118,0,0.77,0,1.53,0,0.77,0,0.77,38.3,3.83,16.85,2.3,0,5.36,0,0.77,0,0.77,0,0,12.26,0,0,0
120,0,0,0,1.96,0,0,0,0,50.95,7.84,5.88,1.96,0,0,0,0,0,0,1.96,0,13.72,0,0,0
