stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,visceral_smooth_muscle,xanthophores
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,2,2,0,0,0,0,0,0,0,0,1,0,5,2,0,1,0,0,3,1,0,0,50,4,1,0,0,0
 24-34,0,0,0,4.93,1.64,0,0,0.82,0,1.64,0,0,0.82,0,0,16.42,0.82,0.82,1.64,0,0,9.85,0.82,0,0,178.13,8.21,2.46,0,0,0
 36-46,0,0,0,0.81,0.81,0,0,1.61,0,0,0,0.81,2.42,0,0,3.22,2.42,1.61,1.61,0,0,4.83,0,0,0,144.21,0,1.61,0,0,0
 48-58,0,0,0,0,0.57,0,0,4.02,0,0.57,0,1.15,1.15,0,0,4.02,0.57,1.15,1.15,0,0,8.03,0,0,0,123.94,1.72,2.87,0,0,0
 60-70,0,0,0,0,5.89,0.98,0,4.91,0,1.96,0.98,0.98,3.93,0,1.96,4.91,0.98,1.96,3.93,0,0,6.87,0.98,0,0,108.95,2.94,0.98,0,0,0
 72-82,0,0,0.98,0,4.91,0,0,4.91,0.98,2.94,0,0.98,15.71,0,0,5.89,0.98,6.87,3.93,0,0.98,7.85,0,0,0,162.96,1.96,0,0.98,0.98,0
 84-94,0,0,3.19,0,7.43,2.12,2.12,3.19,0,1.06,0,1.06,39.3,1.06,3.19,20.18,11.68,7.43,4.25,1.06,0,7.43,0,0,0,434.37,4.25,3.19,0,0,0
 96-106,0,0,3.28,1.09,18.58,0,4.37,5.46,0,3.28,0,0,45.9,0,3.28,19.67,7.65,4.37,14.21,2.19,1.09,22.95,0,0,1.09,441.51,3.28,1.09,0,1.09,1.09
108-118,0,0,1.53,2.3,22.21,0,6.13,3.83,0,11.49,0,0,42.13,0,5.36,19.92,9.96,3.06,9.19,0,0,16.85,0,0,0,401.36,1.53,0,0,0,0
120,0,0,3.92,1.96,21.56,0,1.96,3.92,0,13.72,0,0,47.03,0,3.92,21.56,15.68,1.96,3.92,0,0,19.6,1.96,0,0,270.45,3.92,0,0,0,1.96
