stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,30,3,0,0,0,0,1,3,0,0,0,0,1,19,0,0,22,27,20,0,0,0,14,0,2,3,2,10,0,0,0,0
 24-34,0,0,0.82,0,6.57,3.28,0,0,0.82,0,0,0,0,0,0,0,2.46,73.06,0,0,32.01,34.48,31.19,0,3.28,0,10.67,0,0,0,0,5.75,0,0,4.1,0
 36-46,0,0,0.81,0.81,9.67,0,0,0,0,0,0,0,0,0,0,0,5.64,79.76,0,0.81,24.98,23.36,20.95,0.81,3.22,0,8.86,0,0,0.81,0,6.45,0,0,0.81,0
 48-58,0.57,0,0.57,0,12.05,1.72,0,0,1.72,1.15,0.57,0,1.15,0,0,0.57,3.44,123.37,0,4.59,8.61,23.53,9.18,0,2.3,2.3,4.02,0,0,0,0,6.89,0,0,0,0
 60-70,0,0,0.98,0,21.59,2.94,0,0,0,0.98,0.98,0,0.98,0,0,0,2.94,132.51,0,5.89,6.87,37.3,0.98,0,4.91,0,4.91,0,0,0,0,0,0.98,1.96,0,0.98
 72-82,0,0,2.94,0,27.49,7.85,1.96,0,1.96,1.96,0.98,0,0,0,0,0,3.93,144.3,0.98,5.89,4.91,34.36,0.98,0,4.91,0.98,1.96,0,0,0,0,3.93,11.78,0.98,0,5.89
 84-94,0,0,1.06,0,27.61,11.68,1.06,1.06,1.06,4.25,0,0,0,1.06,0,0,3.19,107.27,0,4.25,2.12,30.8,0,1.06,3.19,0,9.56,0,0,0,0,3.19,52.04,4.25,1.06,3.19
 96-106,0,0,2.19,0,46.99,7.65,1.09,0,1.09,1.09,4.37,0,0,0,0,0,1.09,96.17,0,2.19,3.28,21.86,0,0,4.37,0,5.46,1.09,0,0,0,1.09,60.11,0,2.19,12.02
108-118,0,0,1.53,0,31.4,7.66,0.77,0,0.77,2.3,5.36,0,0,0,0.77,0,0,67.4,0,3.06,0,16.09,0,0,3.83,0.77,2.3,0,0,0,0,1.53,100.34,2.3,0.77,3.06
120,0,0,1.96,0,17.64,7.84,0,0,1.96,1.96,3.92,0,0,0,0,0,1.96,45.08,0,1.96,0,29.4,0,0,1.96,0,0,0,0,0,0,1.96,37.24,7.84,0,1.96
