stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,4.1,0,0,0.82,0.82,0,0,0,0,0,1.64,0,0,0,13.95,0,0,0.82,0,0,0,0,0,1.64,0,0,0.82,0,0
 36-46,0,0,0,0,6.45,0,0,0,0,0,0,0,0,0.81,1.61,0,0,0.81,5.64,0,0,0.81,0,0,0,0.81,0,1.61,0,0,0,0,0
 48-58,0,0,0,0.57,12.62,0,0,0,1.15,0,0,0,0.57,1.15,2.3,0,0,0.57,8.61,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,35.33,0,0,0,2.94,0,0,0,0,0,2.94,0,0,0,1.96,0,0.98,0,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0.98,2.94,110.93,0.98,0,0.98,4.91,0,0,0,0,0,11.78,0,0,0.98,5.89,0,0,0,0,1.96,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,1.06,2.12,97.71,0,0,0,1.06,0,0,0,0,2.12,4.25,0,1.06,1.06,1.06,1.06,0,0,0,1.06,0,0,0,0,0,1.06,0,1.06,1.06
 96-106,0,0,1.09,1.09,74.31,1.09,3.28,0,5.46,1.09,1.09,0,0,1.09,9.84,0,0,1.09,5.46,0,0,1.09,0,1.09,0,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0,1.53,42.89,0,0,0.77,3.06,0,1.53,2.3,0,0,3.83,0,0,0,3.83,0,0,0.77,0,0.77,1.53,0,0.77,0.77,0,0,0,0.77,0.77
120,1.96,0,1.96,1.96,33.32,1.96,0,0,0,1.96,0,0,0,0,1.96,1.96,3.92,1.96,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0
