stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796.18,3.15,0,0,15.73,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,2,868,2,0,6,0,0,0,1,0,0,0,31,0,0,0,0,3,1,0,2,22,3,0,0,1,0,5,1,9,1,2,13,3,0,0,0,0,0
 24-34,0,0,25.45,0,0,7.39,0,0,0.82,0,0,0,0,0.82,0,0.82,0,0,2.46,0,0,0,10.67,0,0,0,0,0,0,0.82,0,0,0.82,1.64,1.64,0,0,0,0,0
 36-46,0,0,1.61,0,0,7.25,0,0,0,0.81,0,0,0,0,0,0,0,0,2.42,0,0,0,4.83,0,0,0,0,0,0,1.61,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,1.15,0,0,24.1,0,0,0.57,1.72,0,0.57,0,0,0,0,0,0,4.59,0,0,1.15,15.49,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0
 60-70,0,0,0,0.98,0,454.44,0,0,0,5.89,0,0,0,0,0,0,0,0,3.93,0,0,0,43.19,0,0,0,0,0,3.93,0,0,0,0,0,1.96,0,0.98,0,0,0
 72-82,0,0,31.41,4.91,0,1857.3,0.98,0,4.91,53.01,5.89,0.98,5.89,1.96,1.96,0.98,1.96,0.98,56.94,0,1.96,2.94,164.92,1.96,0,2.94,0,0.98,4.91,0.98,0,0.98,0,0,6.87,0,2.94,4.91,0.98,1.96
 84-94,0,0,37.17,6.37,0,1484.73,1.06,2.12,3.19,66.91,1.06,1.06,1.06,3.19,1.06,1.06,1.06,0,54.16,3.19,3.19,9.56,100.89,1.06,0,4.25,0,2.12,9.56,0,0,0,0,0,12.74,1.06,3.19,2.12,5.31,0
 96-106,0,0,38.25,7.65,1.09,1392.29,2.19,3.28,1.09,43.71,3.28,0,1.09,0,1.09,0,4.37,0,69.94,0,2.19,5.46,118.03,1.09,3.28,1.09,0,0,19.67,2.19,0,2.19,2.19,0,2.19,2.19,1.09,5.46,2.19,2.19
108-118,0,0,14.55,3.06,0.77,1017.2,1.53,4.6,3.06,40.6,0.77,0,2.3,0.77,0.77,0.77,3.06,0,84.26,0,3.06,5.36,97.28,1.53,1.53,2.3,0,0.77,5.36,0,0,0,0,0,2.3,0,0.77,2.3,5.36,3.06
120,0,1.96,25.48,3.92,0,932.86,1.96,3.92,1.96,39.2,5.88,1.96,7.84,1.96,1.96,0,1.96,0,64.67,0,0,5.88,137.18,3.92,5.88,1.96,0,0,5.88,0,0,0,0,0,1.96,1.96,0,1.96,9.8,1.96
