stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0.82,0,0,1.64,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,28.2,0,0,0,0,0,0,0,0.81,0,0,0,2.42,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,54.51,0,0,0,0,0,0,0.57,0.57,0,0,0.57,1.72,0,0,0,0,0,1.15,0,0,0
 60-70,0,0,0,0,67.73,0,0,0,0,0,0,0,0.98,0,0,0,4.91,0.98,0.98,0,0,0.98,1.96,0,0,0
 72-82,0,0,0,0.98,53.99,0,2.94,0.98,0,0,0,0,4.91,0,0,0,7.85,2.94,0,0.98,0,0,5.89,0,0,1.96
 84-94,0,2.12,2.12,0,79.65,0,0,0,1.06,0,0,0,2.12,1.06,0,0,2.12,6.37,0,0,0,0,3.19,1.06,0,0
 96-106,0,1.09,0,1.09,87.43,1.09,0,0,1.09,0,0,0,6.56,0,1.09,0,4.37,3.28,0,0,0,2.19,4.37,0,1.09,0
108-118,0,0,0,0,79.66,0,0,0.77,0,0.77,1.53,0,1.53,0,0,0,0.77,3.83,0.77,0.77,0,0,4.6,0,0.77,0.77
120,0,0,1.96,0,92.11,0,0,1.96,0,0,1.96,0,1.96,0,0,0,1.96,7.84,1.96,0,0,0,3.92,0,0,0
