stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,0,6.29,0,0,0,0,0,0,0,0,88.12,3.15,0,0,0,0,0,25.18,0,0,0,0
 14-21,0,0,1,75,30,0,29,2,0,0,8,0,7,324,1,1,1,1,0,1,4,1,92,0,16
 24-34,0,0,0,7.39,2.46,0.82,11.49,0.82,0,0,2.46,0,3.28,215.06,0,0,0,0,0.82,0.82,0.82,0,66.49,0,18.88
 36-46,0,0,0,0.81,2.42,0,21.75,1.61,0,0,1.61,0,3.22,145.02,0,0,0,0,0,0,2.42,0,53.98,0,4.03
 48-58,0,0,0,1.15,2.3,0,17.21,1.72,0,0,0,0.57,0,17.21,0,0.57,0,0,0,0,0.57,0,10.33,0,2.3
 60-70,0,0,0,0,1.96,0,11.78,0.98,0,0,0.98,0,0,10.8,0,0,0,0,0,0,0,0,4.91,0,1.96
 72-82,0,0,0,0,0.98,0,0.98,0,0,0,0.98,0,0,2.94,0,0.98,0,0,0,0,1.96,0,0,1.96,7.85
 84-94,0,0,0,0,0,0,6.37,1.06,1.06,1.06,0,0,0,2.12,0,0,0,0,3.19,0,3.19,0,2.12,0,9.56
 96-106,0,0,0,0,1.09,0,4.37,0,0,0,0,0,0,1.09,0,1.09,0,0,0,0,5.46,0,0,1.09,4.37
108-118,0,0,0.77,0,0,0,4.6,0,0.77,0,0,0,0,1.53,0,0.77,0,0,0,0,6.13,0,0,0.77,10.72
120,0,0,0,0,1.96,0,7.84,0,1.96,0,3.92,0,0,1.96,0,0,1.96,0,1.96,0,1.96,0,0,1.96,1.96
