stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,6,1,2,0,0,3,0,0,0,2,0,1,30,0,0,0,1,0,0,4,1,13,0,0,0,0
 24-34,0,0,0,5.75,0,0.82,2.46,0,0,0,4.1,0,1.64,43.51,0,3.28,0,0,0,0,1.64,4.1,26.27,0,0,2.46,0
 36-46,0,0.81,0,8.06,0,0,2.42,0,0,0,4.03,0,0.81,32.23,0,0.81,0,0,0,0.81,0,0,9.67,0,0,0,0
 48-58,0,0,0,14.35,0,0,2.87,0,0,0.57,5.74,0,0,20.66,0,2.3,0.57,0,0,0,0,0,10.33,0,0,1.15,0
 60-70,0,0,0,13.74,0,0,5.89,0,0,0.98,2.94,0,0,28.46,0.98,2.94,0,0,0,0,0,0,9.82,0,0,0.98,0
 72-82,0,0.98,0,20.61,0.98,0,6.87,0,0,0,5.89,0,0,38.28,0,0.98,0.98,0,0,0,0.98,0,3.93,0.98,0,0.98,0
 84-94,0,0,0,10.62,0,0,5.31,0,0,0,5.31,0,0,8.5,0,1.06,1.06,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,5.46,0,0,6.56,0,1.09,0,8.74,0,2.19,12.02,0,1.09,0,0,0,0,0,0,2.19,0,0,0,1.09
108-118,0,0.77,0,8.43,0,0,3.83,0.77,0,0,3.83,0.77,0.77,8.43,0,5.36,2.3,0,0.77,0,0,0,0,0,0.77,0,0
120,0,0,0,9.8,0,0,1.96,0,0,0,3.92,0,1.96,5.88,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0
