stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,immune,ionocyte,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,15.77,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,12.59,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,6,2,4,1,1,0,0,0,2,1,8,0,0,0,0,1,1,2,5,5
 24-34,0,0,0,0.82,1.64,0.82,0,0,0,0,0,1.64,6.57,0,0,0,0.82,0,0,0,0,2.46
 36-46,0,0,0,0,9.67,0,0,0,0,0,0,0,7.25,0,0,0,0,0,0,0,0,4.03
 48-58,0,0,0,0,4.02,1.15,0,0,0,0,0,0,6.31,0,0,0,0.57,0,0,0,0,1.15
 60-70,0,0,0,0,17.67,0.98,0,0.98,0,0,0.98,0.98,7.85,2.94,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,1.96,0.98,0,0,0,0,0,0,8.83,0.98,0,0,2.94,0,0.98,0,0,0
 84-94,0,0,0,0,5.31,1.06,0,0,0,0,2.12,0,4.25,1.06,0,0,2.12,0,1.06,0,0,0
 96-106,0,0,0,2.19,5.46,0,1.09,0,0,0,1.09,0,4.37,2.19,1.09,0,7.65,0,0,0,0,0
108-118,0,0,0,2.3,3.06,0.77,0,0,0.77,0,0,0,3.06,1.53,0,0,15.32,0,0,0,0,0
120,0,0,0,1.96,3.92,0,0,0,0,1.96,1.96,0,0,0,0,0,3.92,0,0,0,0,0
