stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,3,16,2,0,4,1,0,0,0,2,0,1,0,0,0,0,6,0,0,2,39,1,0,0,2,0,0,0,5,0,3,8,0,0,0,0,0
 24-34,0.82,4.93,0,0,6.57,0,0,0.82,0,0,0.82,0.82,0,1.64,0,0,8.21,0.82,0,1.64,27.09,2.46,0,1.64,0,0,0.82,0,0,0,0,8.21,0,0,0.82,0,0.82
 36-46,0,1.61,0,0,3.22,0,0,0.81,0,0.81,0,0,0,0.81,0,0.81,13.7,0,0,3.22,12.89,1.61,0,0,0,0,3.22,0,0,0,0,7.25,0,0,1.61,0,0.81
 48-58,0,0,0,0,0.57,0.57,0.57,1.15,0,0,0,0,0,2.3,0,0,8.03,0,0,2.3,4.59,0.57,0.57,1.15,0,0,0,0,0,0,0,1.15,0,0,0.57,0,0
 60-70,0,0.98,0,0,0,0,0,1.96,0,0,0.98,0,0,0,0,0,2.94,0.98,0,0,4.91,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,1.96,0,0.98,3.93,0,0.98,1.96,0,0,2.94,0.98,0,0.98,0,0,11.78,0.98,0.98,0.98,3.93,0,0,0,0,0,4.91,0,0,0,0,0.98,0.98,0.98,1.96,0,0
 84-94,0,10.62,0,0,0,2.12,2.12,3.19,3.19,0,5.31,3.19,3.19,1.06,1.06,0,13.81,0,1.06,1.06,3.19,2.12,0,1.06,0,0,10.62,0,0,0,0,0,0,1.06,1.06,0,0
 96-106,0,2.19,1.09,0,0,0,2.19,0,4.37,0,1.09,2.19,0,2.19,0,0,5.46,0,0,4.37,12.02,0,0,2.19,0,0,4.37,1.09,0,0,0,0,1.09,1.09,2.19,1.09,1.09
108-118,0,14.55,0,1.53,2.3,0,1.53,0.77,1.53,0,3.06,3.06,0.77,0.77,1.53,0,19.15,0,0,2.3,3.06,0.77,0,0.77,0,0.77,6.89,0,0,1.53,0,0,0,0.77,1.53,0.77,0
120,0,5.88,1.96,0,0,1.96,0,0,0,0,3.92,1.96,0,1.96,0,0,9.8,0,0,1.96,5.88,0,0,0,0,0,9.8,0,0,0,0,0,1.96,0,3.92,1.96,0
