stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.14,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,11,1,7,0,0,1,1,0,0,0,0,2,0,3,42,2,0,1,0,0,0,6,0,1,11,17,0,0,0
 24-34,0,0,0,2.46,0,2.46,0,0.82,0,0,0,0,0,0,4.1,0,0,59.1,0,0,0,0,0,0.82,0.82,0.82,0,0.82,12.31,0.82,0,0
 36-46,0,0,0,1.61,0,8.06,0,0,4.03,0,0,0,0,0,4.03,0,3.22,21.75,0,0.81,0,0,0,0.81,0,0,0,0,8.06,0,0,0.81
 48-58,0,0,0,1.15,0.57,1.72,0,1.15,1.72,0,0,0.57,0,0.57,3.44,0,1.15,10.9,0,0.57,1.15,0,0,2.3,0,0,0,0,4.02,0,0,0
 60-70,0,0,0,0.98,0,2.94,0,0,1.96,0,0,0,0,0,8.83,0,2.94,10.8,0,0,0,0,0,0.98,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,0,3.93,4.91,0,0,5.89,0,0,0,0,0,13.74,0.98,1.96,9.82,0,1.96,0.98,0,0,2.94,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,3.19,2.12,11.68,1.06,1.06,3.19,0,2.12,0,1.06,0,6.37,2.12,0,10.62,1.06,0,0,0,0,12.74,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,8.74,3.28,9.84,0,0,9.84,1.09,0,0,0,0,14.21,2.19,1.09,9.84,0,0,0,0,0,6.56,0,0,0,0,1.09,1.09,0,0
108-118,0,0,0,7.66,3.83,5.36,2.3,2.3,8.43,0,0.77,0,0,0,14.55,0,3.06,6.13,0,0.77,0,0,0.77,4.6,0,0,0.77,0,0.77,0,0,0.77
120,0,0,0,3.92,1.96,0,3.92,1.96,1.96,0,1.96,0,0,0,17.64,0,3.92,3.92,3.92,0,0,0,0,9.8,0,0,0,0,0,0,0,0
