stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,12.59,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,0,0,4,1,0,0,0,0,0,0,1,0,2,21,0,0,0,0,0,0,1,1,3,4,0,0
 24-34,0,0,0,0,1.64,0,1.64,0,0,0,0,0,4.1,0,0,20.52,0,0,0,0.82,1.64,0,0,0,0,4.1,0,0
 36-46,0,0,0,0,0,0,4.83,0,0,0,0,0,2.42,0,0.81,8.06,0.81,0,0,0,0.81,0,0,0,0,4.03,0.81,0
 48-58,0,0,0,0,0,0,1.72,0,0,0,0,0,1.72,0,0.57,8.03,0,0,0,0,0,0,0,0,0,1.72,0,0
 60-70,0,0,0,0,0.98,0.98,2.94,0,0.98,0,0,0,3.93,0,0,3.93,0,0.98,0,0,0,0,0,0,0,3.93,0,0
 72-82,0,0,0.98,0,0,0,1.96,0,1.96,0,0,0,3.93,0.98,0.98,3.93,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,2.12,0,1.06,1.06,1.06,1.06,2.12,0,0,6.37,0,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,3.28,0,1.09,1.09,0,0,1.09,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,1.53,1.53,3.06,0,0.77,0,3.06,0,0,3.06,0,0,0,0,0,0,0,0,0,0.77,0,0.77
120,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,9.8,1.96,0,0,0,0,0,0,0,0,0,0,0
