stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,2,1,2,0,0,0,0
 24-34,0,1.64,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0,2.46,55.82,0.82,0,0,0,0,0.82,0,4.1,6.57,9.03,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0.81,0,0,0.81,0.81,0,0,0.81,107.15,0.81,0,0,0,0.81,0,0.81,0,0,23.36,0,0.81,0,0
 48-58,0,0.57,0,5.16,0.57,0,2.3,0,0,0,0,1.72,0,1.72,0.57,1.15,103.28,0,0,0,0,0,0,0,0,0,10.9,0,0,0,0
 60-70,0,0,0,12.76,0.98,0,1.96,0,0,0,0,0,0,2.94,0,0,161.95,0,0,0,0,0,0,0,1.96,0,19.63,0,0.98,0,0
 72-82,0,1.96,1.96,38.28,0,0.98,4.91,0,0,0,0,1.96,0,16.69,0.98,0.98,331.8,0,0,0,0,0.98,0,0,0,0,16.69,0,0,0,0
 84-94,0,4.25,1.06,33.99,3.19,0,2.12,0,1.06,0,0,7.43,2.12,12.74,2.12,1.06,189.04,0,1.06,0,0,2.12,0,0,1.06,0,12.74,0,0,0,0
 96-106,0,1.09,0,38.25,1.09,0,4.37,1.09,0,0,0,6.56,0,12.02,0,2.19,185.78,2.19,1.09,3.28,0,1.09,0,0,1.09,0,5.46,0,1.09,0,0
108-118,0,2.3,0.77,22.21,3.06,0,3.06,0,0,0,0.77,3.83,0.77,11.49,1.53,4.6,248.94,0.77,0.77,0,0,0.77,0,0,1.53,0,4.6,0.77,0,0.77,0.77
120,0,0,0,27.44,3.92,0,9.8,3.92,0,1.96,0,1.96,0,15.68,0,0,219.5,1.96,0,1.96,0,0,0,0,1.96,0,3.92,0,0,0,0
