stage,axial,blastomeres,endoderm,eye,glial,gut,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,2.63,2.63,0,0,0,0,0,0,0,0,26.29,0,5.26,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,28.32,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,0.82,0,0,0,0,0,11.49,0,0,0,2.46,0
 36-46,0,0,0,0,3.22,0,0,0,0,0,0,0,5.64,0,0,0.81,0.81,0
 48-58,0,0,0,0.57,1.72,0,0,0,0,1.15,0.57,0.57,2.3,0.57,0,0,0.57,0.57
 60-70,0,0,0,0,2.94,0,0,0,0,2.94,2.94,0,1.96,0,0,0,0.98,0
 72-82,0,0,0,0.98,0,0,0,0.98,0,2.94,0.98,0,1.96,0.98,0,0,0,0
 84-94,0,0,0,2.12,1.06,0,0,1.06,0,1.06,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,1.09,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,2.3,0,2.3,0,1.53,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
